<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
US2.GOOG;D;20100609;000000;487.22000;488.88000;472.00000;474.02000
US2.GOOG;D;20100610;000000;480.14000;488.50000;475.84000;487.01000
US2.GOOG;D;20100611;000000;482.97000;488.71000;481.62000;488.50000
US2.GOOG;D;20100614;000000;493.44120;494.50000;483.19000;483.19000
US2.GOOG;D;20100615;000000;483.08000;500.40000;482.18000;497.99000
US2.GOOG;D;20100616;000000;496.17000;504.00000;496.11000;501.27000
US2.GOOG;D;20100617;000000;503.45000;505.87000;496.69000;500.08000
US2.GOOG;D;20100618;000000;502.51000;503.47000;498.13000;499.99000
US2.GOOG;D;20100621;000000;500.06000;500.96700;484.89000;488.56000
US2.GOOG;D;20100622;000000;489.28000;496.60000;485.73000;486.25000
US2.GOOG;D;20100623;000000;485.82000;486.62000;478.25000;482.05000
US2.GOOG;D;20100624;000000;478.55000;482.75000;473.26100;475.10000
US2.GOOG;D;20100625;000000;477.05000;477.64600;470.56000;472.50000
US2.GOOG;D;20100628;000000;472.55000;477.55000;469.01000;472.08000
US2.GOOG;D;20100629;000000;463.40000;464.53000;451.12000;454.26000
US2.GOOG;D;20100630;000000;454.96000;457.83000;444.75000;444.95000
US2.GOOG;D;20100701;000000;447.84000;448.40000;433.65000;439.49000
US2.GOOG;D;20100702;000000;441.62000;442.28420;436.00000;436.55000
US2.GOOG;D;20100706;000000;444.00000;447.66990;433.63000;436.07000
US2.GOOG;D;20100707;000000;438.31000;451.29000;435.38000;450.20000
US2.GOOG;D;20100708;000000;453.55000;457.33000;449.66000;456.56000
US2.GOOG;D;20100709;000000;471.96000;473.26000;462.78000;467.49000
US2.GOOG;D;20100712;000000;472.62000;479.44000;471.08000;475.84000
US2.GOOG;D;20100713;000000;482.30000;492.99000;480.28000;489.23000
US2.GOOG;D;20100714;000000;489.82000;493.83000;486.46000;491.33600
US2.GOOG;D;20100715;000000;491.86000;494.70000;482.68000;494.02000
