<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
DAX;D;20100104;000000;5974.43000;6047.18000;5974.43000;6046.72000
DAX;D;20100105;000000;6043.81000;6058.02000;6019.53000;6031.86000
DAX;D;20100106;000000;6032.38000;6047.56000;5997.09000;6034.33000
DAX;D;20100107;000000;6016.54000;6037.55000;5961.25000;6019.36000
DAX;D;20100108;000000;6029.80000;6053.04000;5972.25000;6038.11000
DAX;D;20100111;000000;6057.65000;6094.26000;6031.14000;6040.50000
DAX;D;20100112;000000;6040.00000;6055.56000;5924.72000;5942.70000
DAX;D;20100113;000000;5937.75000;5974.44000;5925.24000;5963.14000
DAX;D;20100114;000000;6000.28000;6009.26000;5951.69000;5988.86000
DAX;D;20100115;000000;6000.52000;6025.36000;5866.84000;5875.97000
DAX;D;20100118;000000;5897.48000;5922.93000;5877.65000;5918.55000
DAX;D;20100119;000000;5905.98000;5988.69000;5849.96000;5976.48000
DAX;D;20100120;000000;5963.69000;5972.77000;5832.28000;5851.33000
DAX;D;20100121;000000;5878.38000;5907.88000;5743.46000;5743.58000
DAX;D;20100122;000000;5733.91000;5740.87000;5639.49000;5695.70000
DAX;D;20100125;000000;5663.85000;5693.86000;5624.62000;5630.25000
DAX;D;20100126;000000;5593.98000;5675.43000;5574.46000;5668.93000
DAX;D;20100127;000000;5642.42000;5673.73000;5589.01000;5644.56000
DAX;D;20100128;000000;5689.67000;5718.81000;5549.80000;5549.80000
DAX;D;20100129;000000;5566.45000;5657.60000;5556.19000;5608.79000
DAX;D;20100201;000000;5587.16000;5674.21000;5567.72000;5654.48000
DAX;D;20100202;000000;5664.18000;5723.20000;5624.61000;5709.90000
DAX;D;20100203;000000;5714.61000;5733.71000;5656.90000;5672.09000
DAX;D;20100204;000000;5671.37000;5696.94000;5522.57000;5532.93000
DAX;D;20100205;000000;5515.78000;5527.00000;5433.02000;5435.26000
DAX;D;20100208;000000;5476.47000;5504.91000;5434.40000;5484.85000
DAX;D;20100209;000000;5485.49000;5537.75000;5461.51000;5490.29000
DAX;D;20100210;000000;5533.59000;5592.27000;5505.98000;5536.14000
DAX;D;20100211;000000;5562.48000;5580.77000;5454.13000;5503.93000
DAX;D;20100212;000000;5550.53000;5565.43000;5461.54000;5500.39000
DAX;D;20100215;000000;5526.02000;5547.14000;5502.49000;5511.10000
DAX;D;20100216;000000;5574.13000;5592.12000;5498.07000;5592.12000
DAX;D;20100217;000000;5640.02000;5682.36000;5634.98000;5646.93000
DAX;D;20100218;000000;5647.87000;5691.30000;5626.08000;5680.41000
DAX;D;20100219;000000;5627.31000;5729.29000;5626.57000;5722.05000
DAX;D;20100222;000000;5739.27000;5743.88000;5683.61000;5688.55000
DAX;D;20100223;000000;5715.37000;5732.14000;5584.54000;5604.07000
DAX;D;20100224;000000;5621.64000;5639.71000;5572.30000;5615.63000
DAX;D;20100225;000000;5562.70000;5655.75000;5518.61000;5533.89000
DAX;D;20100226;000000;5588.89000;5604.65000;5530.19000;5598.46000
DAX;D;20100301;000000;5652.94000;5717.65000;5641.18000;5713.69000
DAX;D;20100302;000000;5728.08000;5779.92000;5709.74000;5774.82000
DAX;D;20100303;000000;5759.66000;5828.18000;5750.30000;5818.44000
DAX;D;20100304;000000;5774.89000;5823.00000;5767.66000;5797.92000
DAX;D;20100305;000000;5815.91000;5879.56000;5808.38000;5877.36000
DAX;D;20100308;000000;5892.93000;5894.19000;5865.44000;5876.01000
DAX;D;20100309;000000;5872.71000;5899.00000;5838.17000;5885.89000
DAX;D;20100310;000000;5882.22000;5951.17000;5874.75000;5935.98000
DAX;D;20100311;000000;5913.30000;5954.55000;5907.16000;5928.63000
DAX;D;20100312;000000;5944.24000;5989.88000;5934.15000;5945.11000
DAX;D;20100315;000000;5933.95000;5953.19000;5898.22000;5903.56000
DAX;D;20100316;000000;5934.71000;5990.89000;5930.34000;5970.99000
DAX;D;20100317;000000;5998.61000;6035.79000;5991.21000;6024.28000
DAX;D;20100318;000000;6004.96000;6039.39000;5998.12000;6012.31000
DAX;D;20100319;000000;6030.87000;6041.95000;5956.84000;5982.43000
DAX;D;20100322;000000;5961.03000;5987.36000;5910.92000;5987.36000
DAX;D;20100323;000000;5987.05000;6030.94000;5981.44000;6017.27000
DAX;D;20100324;000000;6037.68000;6044.64000;5964.76000;6038.79000
DAX;D;20100325;000000;6043.84000;6139.33000;6038.05000;6132.95000
DAX;D;20100326;000000;6126.79000;6134.70000;6105.87000;6118.98000
DAX;D;20100329;000000;6149.97000;6172.85000;6128.21000;6156.85000
DAX;D;20100330;000000;6187.90000;6203.50000;6135.53000;6142.45000
DAX;D;20100331;000000;6139.67000;6162.18000;6108.34000;6153.55000
DAX;D;20100401;000000;6189.05000;6238.55000;6186.59000;6235.56000
DAX;D;20100406;000000;6250.01000;6265.32000;6214.18000;6252.21000
DAX;D;20100407;000000;6248.44000;6256.40000;6209.81000;6224.07000
DAX;D;20100408;000000;6200.11000;6207.14000;6138.30000;6171.83000
DAX;D;20100409;000000;6226.38000;6254.36000;6216.60000;6249.54000
DAX;D;20100412;000000;6283.69000;6285.03000;6223.78000;6250.69000
DAX;D;20100413;000000;6236.76000;6251.46000;6199.78000;6230.94000
DAX;D;20100414;000000;6269.48000;6305.15000;6249.92000;6279.32000
DAX;D;20100415;000000;6286.80000;6310.32000;6249.74000;6291.45000
DAX;D;20100416;000000;6263.73000;6305.40000;6162.84000;6180.32000
DAX;D;20100419;000000;6158.23000;6190.86000;6140.38000;6162.47000
DAX;D;20100420;000000;6193.31000;6267.54000;6172.57000;6264.23000
