<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
GRAZ;60;20100930;100000;44.48800;44.48800;44.30000;44.30000
GRAZ;60;20100930;110000;44.30000;44.50000;44.20300;44.24000
GRAZ;60;20100930;120000;44.21000;44.35800;44.19600;44.20100
GRAZ;60;20100930;130000;44.30000;44.37300;44.20000;44.34000
GRAZ;60;20100930;140000;44.25000;44.35000;44.25000;44.35000
GRAZ;60;20100930;150000;44.35000;44.36000;44.11000;44.36000
GRAZ;60;20100930;160000;44.20400;44.35900;44.20000;44.34000
GRAZ;60;20100930;170000;44.30000;44.49100;44.21100;44.49000
GRAZ;60;20100930;180000;44.49000;44.49000;44.34000;44.47800
GRAZ;60;20101001;100000;44.47800;44.48000;44.47800;44.48000
GRAZ;60;20101001;110000;44.25100;44.65000;44.21100;44.65000
GRAZ;60;20101001;120000;44.62900;44.90300;44.27000;44.27000
GRAZ;60;20101001;130000;44.49900;44.68900;44.25000;44.68900
GRAZ;60;20101001;140000;44.42700;44.69400;44.41900;44.50000
GRAZ;60;20101001;150000;44.50000;44.50000;44.45000;44.50000
GRAZ;60;20101001;160000;44.50000;44.60000;43.83500;44.10000
GRAZ;60;20101001;170000;44.10000;44.34300;44.00000;44.00100
GRAZ;60;20101001;180000;44.00000;44.37400;43.90100;44.30000
GRAZ;60;20101004;100000;44.37400;44.69500;44.00400;44.51100
GRAZ;60;20101004;110000;44.51100;44.51100;44.37400;44.45000
GRAZ;60;20101004;120000;44.45000;44.69000;44.23300;44.40000
GRAZ;60;20101004;130000;44.39000;44.40000;44.28000;44.30000
GRAZ;60;20101004;140000;44.30000;44.45000;44.30000;44.45000
GRAZ;60;20101004;150000;44.45000;44.45000;44.45000;44.45000
GRAZ;60;20101004;160000;44.45000;44.50000;44.45000;44.49000
GRAZ;60;20101004;170000;44.49000;44.69000;44.40000;44.50000
GRAZ;60;20101004;180000;44.49800;44.65000;44.40800;44.49900
GRAZ;60;20101005;100000;44.37400;44.68000;44.08100;44.68000
GRAZ;60;20101005;110000;44.55000;44.68800;44.49000;44.68800
GRAZ;60;20101005;120000;44.63000;45.14900;44.60000;45.10000
GRAZ;60;20101005;130000;45.10000;45.19300;44.84300;44.90000
GRAZ;60;20101005;140000;44.90000;44.99700;44.76500;44.77000
GRAZ;60;20101005;150000;44.90800;44.90800;44.65100;44.65100
GRAZ;60;20101005;160000;44.65300;44.65300;44.62000;44.62000
GRAZ;60;20101005;170000;44.62000;44.82000;44.57000;44.80000
GRAZ;60;20101005;180000;44.80000;44.89500;44.70000;44.89500
GRAZ;60;20101006;100000;44.90100;45.45000;44.63700;44.71000
GRAZ;60;20101006;110000;44.72000;44.87000;44.66200;44.87000
GRAZ;60;20101006;120000;44.72100;44.87000;44.64500;44.64500
GRAZ;60;20101006;130000;44.84000;44.85800;44.72000;44.83900
GRAZ;60;20101006;140000;44.83900;44.83900;44.63700;44.64000
GRAZ;60;20101006;150000;44.63800;44.64000;44.50000;44.50000
GRAZ;60;20101006;160000;44.50000;44.52000;44.30000;44.43000
GRAZ;60;20101006;170000;44.37100;44.50000;44.37100;44.49900
GRAZ;60;20101006;180000;44.49900;44.52900;44.43000;44.50000
GRAZ;60;20101007;100000;44.50100;44.50100;44.40000;44.49000
GRAZ;60;20101007;110000;44.40000;44.40000;44.00000;44.29800
GRAZ;60;20101007;120000;44.18500;44.28900;44.10000;44.26400
GRAZ;60;20101007;130000;44.26400;44.30000;44.10000;44.20000
GRAZ;60;20101007;140000;44.30000;44.34400;44.20000;44.33700
GRAZ;60;20101007;150000;44.26900;44.26900;44.10000;44.21800
GRAZ;60;20101007;160000;44.12400;44.30000;44.10000;44.30000
GRAZ;60;20101007;170000;44.12100;44.17000;44.00200;44.17000
GRAZ;60;20101007;180000;44.19600;44.25000;44.01200;44.10000
GRAZ;60;20101008;100000;44.18500;44.19000;44.00000;44.08000
GRAZ;60;20101008;110000;44.07600;44.17900;44.00000;44.11900
GRAZ;60;20101008;120000;44.00500;44.10800;44.00000;44.10800
GRAZ;60;20101008;130000;44.00000;44.00000;43.90200;44.00000
GRAZ;60;20101008;140000;43.96000;44.10000;43.95000;44.08600
GRAZ;60;20101008;150000;44.00000;44.00000;44.00000;44.00000
GRAZ;60;20101008;160000;44.07800;44.09400;44.00000;44.09400
GRAZ;60;20101008;170000;44.05000;44.09400;44.01000;44.01000
GRAZ;60;20101008;180000;44.08900;44.12000;44.01100;44.06400
GRAZ;60;20101011;100000;44.20100;44.49000;44.20100;44.40000
GRAZ;60;20101011;110000;44.30200;44.44800;43.96000;44.30000
GRAZ;60;20101011;120000;44.37000;44.40000;44.11300;44.31000
GRAZ;60;20101011;130000;44.31900;44.36800;44.22000;44.35000
GRAZ;60;20101011;140000;44.35000;44.49900;44.22600;44.39900
GRAZ;60;20101011;150000;44.39900;44.49900;44.23500;44.49900
GRAZ;60;20101011;160000;44.49900;44.79900;44.49800;44.76500
GRAZ;60;20101011;170000;44.75000;44.87000;44.28200;44.80000
GRAZ;60;20101011;180000;44.80000;44.80000;44.22000;44.54600
GRAZ;60;20101012;100000;44.70000;44.70000;44.37000;44.43300
GRAZ;60;20101012;110000;44.44000;44.70000;44.37400;44.67900
GRAZ;60;20101012;120000;44.55500;44.55500;44.00000;44.20100
GRAZ;60;20101012;130000;44.18700;44.46600;44.03000;44.33900
GRAZ;60;20101012;140000;44.18500;44.30000;44.15000;44.22900
GRAZ;60;20101012;150000;44.22900;44.23900;44.10000;44.10000
GRAZ;60;20101012;160000;44.29500;44.43400;44.15900;44.34000
GRAZ;60;20101012;170000;44.34000;44.34900;44.10200;44.10200
GRAZ;60;20101012;180000;44.25000;44.34900;44.09900;44.34500
GRAZ;60;20101013;100000;44.20100;44.60000;44.10000;44.35000
GRAZ;60;20101013;110000;44.34000;44.75000;44.00000;44.39900
GRAZ;60;20101013;120000;44.30000;44.40000;44.07200;44.40000
GRAZ;60;20101013;130000;44.40000;44.50000;44.30000;44.40000
GRAZ;60;20101013;140000;44.40100;44.54700;44.07100;44.22000
GRAZ;60;20101013;150000;44.32600;44.37000;44.18100;44.20000
GRAZ;60;20101013;160000;44.30000;44.35000;44.20000;44.25000
GRAZ;60;20101013;170000;44.25000;44.30000;44.20100;44.20200
GRAZ;60;20101013;180000;44.30000;44.35000;44.30000;44.35000
GRAZ;60;20101014;100000;44.34800;44.46000;44.15100;44.35000
GRAZ;60;20101014;110000;44.33000;44.50000;44.33000;44.50000
GRAZ;60;20101014;120000;44.45000;45.20900;44.45000;44.60000
GRAZ;60;20101014;130000;44.60000;44.68100;44.55300;44.66000
GRAZ;60;20101014;140000;44.66800;45.00000;44.57000;44.96000
GRAZ;60;20101014;150000;44.80100;44.97000;44.76000;44.76000
GRAZ;60;20101014;160000;44.88400;44.89900;44.50000;44.50000
GRAZ;60;20101014;170000;44.54800;44.62400;44.33000;44.47000
GRAZ;60;20101014;180000;44.47000;44.71000;44.35000;44.69900
GRAZ;60;20101015;100000;44.71900;44.71900;43.09800;44.05900
GRAZ;60;20101015;110000;44.15000;44.31000;44.10000;44.10000
GRAZ;60;20101015;120000;44.20000;44.23900;44.10000;44.10000
GRAZ;60;20101015;130000;44.20000;44.20000;44.10200;44.10500
GRAZ;60;20101015;140000;44.10500;44.25000;44.10100;44.25000
GRAZ;60;20101015;150000;44.25000;45.49900;44.25000;44.90500
GRAZ;60;20101015;160000;44.77800;44.98600;44.76300;44.77000
GRAZ;60;20101015;170000;44.77100;44.77100;44.40000;44.45600
GRAZ;60;20101015;180000;44.45200;44.77000;44.30000;44.54200
