<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
LKOH;60;20101001;100000;1729.73000;1733.04000;1725.06000;1726.19000
LKOH;60;20101001;110000;1726.19000;1739.00000;1725.40000;1736.50000
LKOH;60;20101001;120000;1736.82000;1738.99000;1727.00000;1733.75000
LKOH;60;20101001;130000;1733.90000;1735.99000;1730.00000;1730.00000
LKOH;60;20101001;140000;1731.38000;1748.00000;1730.11000;1739.41000
LKOH;60;20101001;150000;1738.99000;1750.00000;1736.03000;1748.55000
LKOH;60;20101001;160000;1749.00000;1760.00000;1748.55000;1759.55000
LKOH;60;20101001;170000;1759.73000;1765.00000;1753.00000;1760.41000
LKOH;60;20101001;180000;1758.66000;1761.00000;1744.10000;1749.00000
LKOH;60;20101004;100000;1750.00000;1761.00000;1746.23000;1756.00000
LKOH;60;20101004;110000;1756.10000;1756.11000;1735.24000;1747.00000
LKOH;60;20101004;120000;1747.00000;1752.48000;1743.50000;1743.50000
LKOH;60;20101004;130000;1743.63000;1745.00000;1727.50000;1735.15000
LKOH;60;20101004;140000;1735.73000;1754.00000;1734.00000;1747.67000
LKOH;60;20101004;150000;1746.65000;1755.00000;1744.08000;1754.47000
LKOH;60;20101004;160000;1754.47000;1757.52000;1748.02000;1748.10000
LKOH;60;20101004;170000;1748.10000;1751.00000;1746.01000;1749.45000
LKOH;60;20101004;180000;1749.45000;1751.50000;1739.18000;1740.01000
LKOH;60;20101005;100000;1740.01000;1746.84000;1728.34000;1736.00000
LKOH;60;20101005;110000;1735.94000;1748.49000;1730.40000;1747.00000
LKOH;60;20101005;120000;1747.01000;1752.00000;1740.35000;1741.86000
LKOH;60;20101005;130000;1741.58000;1742.11000;1735.00000;1737.00000
LKOH;60;20101005;140000;1737.00000;1740.30000;1733.20000;1735.57000
LKOH;60;20101005;150000;1735.30000;1738.49000;1725.25000;1727.92000
LKOH;60;20101005;160000;1728.45000;1742.75000;1727.33000;1740.74000
LKOH;60;20101005;170000;1740.74000;1748.30000;1737.73000;1742.40000
LKOH;60;20101005;180000;1742.50000;1758.43000;1741.20000;1754.10000
LKOH;60;20101006;100000;1764.40000;1784.00000;1764.38000;1777.70000
LKOH;60;20101006;110000;1777.70000;1779.00000;1762.50000;1767.90000
LKOH;60;20101006;120000;1767.21000;1772.00000;1763.85000;1770.00000
LKOH;60;20101006;130000;1769.06000;1769.65000;1759.00000;1761.99000
LKOH;60;20101006;140000;1762.01000;1768.50000;1762.00000;1766.99000
LKOH;60;20101006;150000;1766.57000;1767.00000;1757.55000;1760.41000
LKOH;60;20101006;160000;1760.41000;1760.41000;1747.50000;1754.95000
LKOH;60;20101006;170000;1754.65000;1759.20000;1751.61000;1756.00000
LKOH;60;20101006;180000;1756.00000;1762.20000;1753.31000;1760.58000
LKOH;60;20101007;100000;1765.00000;1765.00000;1753.28000;1761.51000
LKOH;60;20101007;110000;1761.82000;1763.98000;1748.62000;1753.69000
LKOH;60;20101007;120000;1753.69000;1760.80000;1751.14000;1755.00000
LKOH;60;20101007;130000;1754.08000;1757.85000;1748.80000;1757.22000
LKOH;60;20101007;140000;1757.08000;1761.11000;1754.18000;1758.00000
LKOH;60;20101007;150000;1757.99000;1757.99000;1753.00000;1756.00000
LKOH;60;20101007;160000;1755.99000;1763.97000;1752.10000;1762.90000
LKOH;60;20101007;170000;1762.90000;1763.84000;1750.80000;1750.80000
LKOH;60;20101007;180000;1750.80000;1751.00000;1741.30000;1742.95000
LKOH;60;20101008;100000;1740.00000;1748.00000;1735.69000;1736.90000
LKOH;60;20101008;110000;1736.99000;1740.00000;1728.00000;1738.52000
LKOH;60;20101008;120000;1738.12000;1740.80000;1729.00000;1729.00000
LKOH;60;20101008;130000;1729.16000;1734.99000;1725.11000;1728.11000
LKOH;60;20101008;140000;1728.11000;1728.58000;1717.77000;1720.33000
LKOH;60;20101008;150000;1720.69000;1723.95000;1714.07000;1723.80000
LKOH;60;20101008;160000;1723.80000;1729.00000;1716.63000;1718.50000
LKOH;60;20101008;170000;1718.55000;1729.89000;1714.02000;1728.18000
LKOH;60;20101008;180000;1728.80000;1733.00000;1724.34000;1728.50000
LKOH;60;20101011;100000;1740.00000;1745.00000;1735.45000;1742.00000
LKOH;60;20101011;110000;1742.00000;1744.25000;1734.24000;1739.13000
