<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
TAI.2353-TAI;D;20100506;000000;82.00000;82.00000;79.90000;81.30000
TAI.2353-TAI;D;20100507;000000;79.00000;85.50000;79.00000;84.40000
TAI.2353-TAI;D;20100510;000000;83.50000;83.90000;80.90000;81.80000
TAI.2353-TAI;D;20100511;000000;82.50000;82.70000;79.60000;79.60000
TAI.2353-TAI;D;20100512;000000;80.00000;80.70000;78.60000;78.60000
TAI.2353-TAI;D;20100513;000000;80.40000;81.90000;79.80000;81.90000
TAI.2353-TAI;D;20100514;000000;81.50000;81.50000;79.80000;80.80000
TAI.2353-TAI;D;20100517;000000;79.80000;79.80000;75.20000;75.20000
TAI.2353-TAI;D;20100518;000000;75.40000;76.70000;75.20000;76.00000
TAI.2353-TAI;D;20100520;000000;78.30000;78.70000;77.40000;77.70000
TAI.2353-TAI;D;20100521;000000;74.90000;76.40000;74.20000;74.50000
TAI.2353-TAI;D;20100524;000000;75.30000;75.80000;74.90000;75.20000
TAI.2353-TAI;D;20100525;000000;74.30000;74.50000;71.40000;73.50000
TAI.2353-TAI;D;20100526;000000;75.00000;76.50000;74.10000;76.50000
TAI.2353-TAI;D;20100527;000000;75.70000;77.60000;74.90000;75.20000
TAI.2353-TAI;D;20100528;000000;78.00000;80.50000;78.00000;80.50000
TAI.2353-TAI;D;20100531;000000;80.50000;81.30000;79.40000;80.10000
TAI.2353-TAI;D;20100602;000000;78.00000;78.00000;74.40000;75.10000
TAI.2353-TAI;D;20100607;000000;77.40000;78.80000;77.00000;77.50000
TAI.2353-TAI;D;20100608;000000;77.80000;78.70000;77.50000;78.30000
TAI.2353-TAI;D;20100609;000000;78.00000;78.50000;77.30000;77.70000
TAI.2353-TAI;D;20100610;000000;75.50000;76.90000;75.50000;76.80000
TAI.2353-TAI;D;20100611;000000;79.60000;79.80000;78.60000;79.20000
TAI.2353-TAI;D;20100614;000000;79.50000;80.00000;79.00000;79.90000
TAI.2353-TAI;D;20100615;000000;79.50000;80.50000;79.30000;79.80000
TAI.2353-TAI;D;20100617;000000;79.90000;79.90000;78.00000;78.70000
TAI.2353-TAI;D;20100618;000000;79.60000;79.60000;77.80000;78.00000
TAI.2353-TAI;D;20100621;000000;79.10000;81.00000;78.90000;80.30000
TAI.2353-TAI;D;20100622;000000;80.50000;81.40000;80.30000;80.60000
TAI.2353-TAI;D;20100623;000000;80.40000;83.30000;79.60000;82.10000
TAI.2353-TAI;D;20100624;000000;82.90000;83.50000;80.70000;81.10000
TAI.2353-TAI;D;20100625;000000;80.00000;80.00000;78.40000;80.00000
TAI.2353-TAI;D;20100628;000000;79.00000;79.40000;78.60000;78.60000
TAI.2353-TAI;D;20100629;000000;79.50000;79.60000;78.50000;78.50000
TAI.2353-TAI;D;20100630;000000;76.30000;76.40000;75.10000;75.20000
TAI.2353-TAI;D;20100701;000000;75.40000;75.70000;74.10000;74.10000
TAI.2353-TAI;D;20100702;000000;74.10000;76.50000;74.10000;75.40000
TAI.2353-TAI;D;20100705;000000;74.90000;76.20000;74.50000;75.30000
TAI.2353-TAI;D;20100706;000000;74.90000;77.50000;74.90000;77.50000
TAI.2353-TAI;D;20100707;000000;77.80000;78.80000;77.00000;78.70000
TAI.2353-TAI;D;20100708;000000;79.50000;80.90000;79.30000;79.40000
TAI.2353-TAI;D;20100709;000000;78.70000;81.50000;78.70000;81.00000
TAI.2353-TAI;D;20100712;000000;80.30000;80.80000;79.30000;79.70000
TAI.2353-TAI;D;20100713;000000;80.00000;80.00000;78.10000;78.20000
TAI.2353-TAI;D;20100714;000000;81.70000;83.30000;81.70000;82.70000
TAI.2353-TAI;D;20100715;000000;83.70000;83.70000;82.00000;83.00000
TAI.2353-TAI;D;20100716;000000;83.20000;86.10000;83.10000;84.60000
TAI.2353-TAI;D;20100719;000000;81.30000;81.30000;79.80000;80.20000
TAI.2353-TAI;D;20100720;000000;80.40000;81.40000;80.00000;80.90000
TAI.2353-TAI;D;20100727;000000;82.70000;84.40000;82.60000;83.40000
TAI.2353-TAI;D;20100728;000000;83.50000;86.00000;83.50000;86.00000
TAI.2353-TAI;D;20100729;000000;88.00000;88.00000;85.80000;86.50000
TAI.2353-TAI;D;20100730;000000;86.50000;86.50000;85.20000;85.80000
TAI.2353-TAI;D;20100809;000000;86.70000;87.50000;86.70000;87.10000
TAI.2353-TAI;D;20100823;000000;82.50000;83.80000;81.80000;81.80000
TAI.2353-TAI;D;20100824;000000;81.90000;81.90000;80.30000;80.40000
TAI.2353-TAI;D;20100830;000000;75.70000;76.20000;74.60000;75.00000
TAI.2353-TAI;D;20100831;000000;75.10000;75.40000;73.70000;75.10000
TAI.2353-TAI;D;20100901;000000;77.10000;77.70000;75.70000;76.60000
TAI.2353-TAI;D;20100902;000000;77.60000;77.70000;75.10000;76.30000
TAI.2353-TAI;D;20100903;000000;76.60000;79.40000;76.60000;78.80000
TAI.2353-TAI;D;20100906;000000;79.20000;80.00000;78.80000;80.00000
