<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
US1.XRX;D;20100802;000000;9.81000;9.98500;9.65000;9.82000
US1.XRX;D;20100803;000000;9.80000;9.85000;9.52000;9.65000
US1.XRX;D;20100804;000000;9.71000;9.77000;9.57000;9.74000
US1.XRX;D;20100805;000000;9.69000;9.69000;9.50000;9.64000
US1.XRX;D;20100806;000000;9.50000;9.62000;9.33500;9.59000
US1.XRX;D;20100809;000000;9.72000;9.81000;9.63000;9.75000
US1.XRX;D;20100810;000000;9.66000;9.72000;9.38000;9.62000
US1.XRX;D;20100811;000000;9.42000;9.48000;9.17000;9.27000
US1.XRX;D;20100812;000000;9.17000;9.17000;8.94000;9.10000
US1.XRX;D;20100813;000000;9.05000;9.22000;8.98000;9.01000
US1.XRX;D;20100816;000000;8.95000;9.05000;8.88000;9.02000
US1.XRX;D;20100817;000000;9.05000;9.34000;9.04000;9.24000
US1.XRX;D;20100818;000000;9.28000;9.33000;9.16000;9.26000
US1.XRX;D;20100819;000000;9.20000;9.26000;8.84780;9.05000
US1.XRX;D;20100820;000000;8.91000;9.07000;8.85000;8.97000
US1.XRX;D;20100823;000000;9.00000;9.00000;8.80000;8.80000
US1.XRX;D;20100824;000000;8.63000;8.66000;8.39000;8.46000
US1.XRX;D;20100825;000000;8.40000;8.64000;8.33000;8.59000
US1.XRX;D;20100826;000000;8.62500;8.77000;8.43000;8.47000
US1.XRX;D;20100827;000000;8.54000;8.66000;8.32000;8.64000
US1.XRX;D;20100830;000000;8.63000;8.72000;8.45000;8.46000
US1.XRX;D;20100831;000000;8.45000;8.53000;8.32000;8.44500
US1.XRX;D;20100901;000000;8.60000;8.87000;8.59000;8.81900
US1.XRX;D;20100902;000000;8.83000;8.96000;8.63000;8.93000
US1.XRX;D;20100903;000000;9.05000;9.20000;8.96200;9.09000
US1.XRX;D;20100907;000000;8.99000;9.08000;8.88000;8.90000
US1.XRX;D;20100908;000000;8.97000;9.00100;8.90000;8.95000
US1.XRX;D;20100909;000000;9.07000;9.21000;9.01000;9.14000
US1.XRX;D;20100910;000000;9.19000;9.30000;9.09000;9.11000
US1.XRX;D;20100913;000000;9.80000;9.99000;9.57800;9.81000
US1.XRX;D;20100914;000000;9.82000;9.89000;9.60000;9.60000
US1.XRX;D;20100915;000000;9.65000;9.85000;9.59000;9.75000
US1.XRX;D;20100916;000000;9.78000;10.23000;9.73000;10.05000
US1.XRX;D;20100917;000000;10.15000;10.18000;9.96000;10.10000
US1.XRX;D;20100920;000000;10.22000;10.42000;10.07000;10.36000
US1.XRX;D;20100921;000000;10.40000;10.42000;10.15000;10.27000
US1.XRX;D;20100922;000000;10.27000;10.31000;10.13000;10.20000
US1.XRX;D;20100923;000000;10.12000;10.42000;10.07000;10.16000
US1.XRX;D;20100924;000000;10.38000;10.63000;10.35000;10.52000
US1.XRX;D;20100927;000000;10.50000;10.56000;10.39000;10.50000
US1.XRX;D;20100928;000000;10.50000;10.60000;10.25000;10.55000
US1.XRX;D;20100929;000000;10.58000;10.64000;10.23000;10.29000
US1.XRX;D;20100930;000000;10.40000;10.57000;10.22000;10.35000
US1.XRX;D;20101001;000000;10.42000;10.52000;10.30000;10.50000
US1.XRX;D;20101004;000000;10.47000;10.64000;10.32000;10.44000
US1.XRX;D;20101005;000000;10.53000;10.78000;10.52000;10.72000
US1.XRX;D;20101006;000000;10.70000;10.81000;10.60000;10.74000
US1.XRX;D;20101007;000000;10.79000;10.82500;10.61000;10.74000
US1.XRX;D;20101008;000000;10.76000;11.06000;10.72000;10.95000
US1.XRX;D;20101011;000000;10.98000;11.21000;10.97000;11.04000
US1.XRX;D;20101012;000000;10.98000;11.18000;10.91000;11.16000
US1.XRX;D;20101013;000000;11.25000;11.28000;11.07000;11.08000
US1.XRX;D;20101014;000000;11.11990;11.12000;10.89000;11.03000
US1.XRX;D;20101015;000000;11.12000;11.17000;10.95000;11.06000
US1.XRX;D;20101018;000000;11.03640;11.26000;11.01000;11.22000
US1.XRX;D;20101019;000000;11.08000;11.13500;10.81000;10.94000
US1.XRX;D;20101020;000000;10.98000;11.30000;10.94000;11.09000
US1.XRX;D;20101021;000000;11.33000;11.39000;11.04000;11.21000
US1.XRX;D;20101022;000000;11.25000;11.44000;11.17000;11.42000
