<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
US2.AAPL;D;20100104;000000;213.60000;214.50000;212.40000;214.22000
US2.AAPL;D;20100105;000000;214.68000;215.59000;213.25000;214.45000
US2.AAPL;D;20100106;000000;214.39000;215.23000;210.75000;210.95000
US2.AAPL;D;20100107;000000;211.67000;211.95500;209.05000;210.58000
US2.AAPL;D;20100108;000000;210.49000;212.00000;209.08000;211.99000
US2.AAPL;D;20100111;000000;213.00000;213.00000;208.45000;210.11000
US2.AAPL;D;20100112;000000;209.15000;209.77000;206.42000;207.72000
US2.AAPL;D;20100113;000000;208.12000;210.93000;204.11000;210.65000
US2.AAPL;D;20100114;000000;210.04000;210.45200;209.04400;209.40000
US2.AAPL;D;20100115;000000;211.36000;211.55000;205.89000;205.93000
US2.AAPL;D;20100119;000000;208.40000;215.19000;207.50000;215.04000
US2.AAPL;D;20100120;000000;215.34900;215.50000;209.51000;211.65000
US2.AAPL;D;20100121;000000;212.29000;213.24000;207.21000;208.24000
US2.AAPL;D;20100122;000000;206.82600;207.49000;197.16000;197.70000
US2.AAPL;D;20100125;000000;202.85000;204.70000;200.19000;203.07500
US2.AAPL;D;20100126;000000;205.61000;213.71000;202.60000;205.78990
US2.AAPL;D;20100127;000000;206.69000;210.57000;199.60000;207.86000
US2.AAPL;D;20100128;000000;204.94000;205.49000;198.70000;199.30000
US2.AAPL;D;20100129;000000;201.31000;202.19000;190.26000;192.12000
US2.AAPL;D;20100201;000000;192.36000;195.75000;191.30000;194.60000
US2.AAPL;D;20100202;000000;195.88000;196.32000;193.40000;195.82000
US2.AAPL;D;20100203;000000;195.32000;200.20000;194.51740;199.23000
US2.AAPL;D;20100204;000000;196.77000;198.37000;191.61000;192.01000
US2.AAPL;D;20100205;000000;192.57000;196.00000;190.89950;195.51000
US2.AAPL;D;20100208;000000;195.73000;197.88000;194.00000;194.06000
US2.AAPL;D;20100209;000000;196.39000;197.50000;194.75000;196.15000
US2.AAPL;D;20100210;000000;195.89000;196.55000;194.26000;195.11600
US2.AAPL;D;20100211;000000;195.02990;199.75000;194.06000;198.73000
US2.AAPL;D;20100212;000000;198.17000;201.61000;196.75000;200.62000
US2.AAPL;D;20100216;000000;202.31500;203.69000;201.56000;203.40000
US2.AAPL;D;20100217;000000;204.24000;204.28000;200.86000;202.45000
US2.AAPL;D;20100218;000000;201.25000;203.89000;200.94000;202.92000
US2.AAPL;D;20100219;000000;201.92000;203.20000;201.13000;201.56000
US2.AAPL;D;20100222;000000;202.46000;202.49880;199.19000;200.39000
US2.AAPL;D;20100223;000000;199.88000;201.31880;195.71000;196.98000
US2.AAPL;D;20100224;000000;198.16000;201.44000;197.84000;200.55000
US2.AAPL;D;20100225;000000;197.39000;202.84990;196.92000;202.00000
US2.AAPL;D;20100226;000000;202.31000;205.17000;202.02000;204.64000
US2.AAPL;D;20100301;000000;205.77000;209.50000;205.70000;209.03000
US2.AAPL;D;20100302;000000;209.90000;210.81000;207.74000;208.80000
US2.AAPL;D;20100303;000000;209.13000;209.87000;207.94000;209.27000
US2.AAPL;D;20100304;000000;209.43000;210.91000;208.64000;210.71000
US2.AAPL;D;20100305;000000;214.92500;219.70000;214.63000;218.90000
US2.AAPL;D;20100308;000000;219.91000;220.01000;218.26000;218.94000
US2.AAPL;D;20100309;000000;218.32000;225.00000;217.94000;223.02000
US2.AAPL;D;20100310;000000;223.75000;225.47000;223.21000;224.84010
US2.AAPL;D;20100311;000000;223.74000;225.46000;223.33000;225.41000
US2.AAPL;D;20100312;000000;227.15000;227.73000;225.75000;226.60000
US2.AAPL;D;20100315;000000;225.28000;225.28000;220.26000;223.88000
US2.AAPL;D;20100316;000000;224.19000;224.98000;222.51000;224.49000
US2.AAPL;D;20100317;000000;224.91000;226.44000;223.27000;224.07000
US2.AAPL;D;20100318;000000;223.96000;225.00000;222.61000;224.75000
US2.AAPL;D;20100319;000000;225.00000;225.01000;221.23000;222.14000
US2.AAPL;D;20100322;000000;220.49000;225.99000;220.15000;224.82000
US2.AAPL;D;20100323;000000;225.65000;228.78000;224.10000;228.40000
US2.AAPL;D;20100324;000000;227.70000;230.20000;227.52000;229.36000
US2.AAPL;D;20100325;000000;230.88000;230.91000;226.25000;226.50000
US2.AAPL;D;20100326;000000;229.01000;231.95000;228.55000;230.94000
US2.AAPL;D;20100329;000000;233.00000;233.86990;231.62000;232.41000
US2.AAPL;D;20100330;000000;236.72000;237.44000;234.26000;235.85000
US2.AAPL;D;20100331;000000;235.56000;236.57700;234.48000;235.00000
US2.AAPL;D;20100401;000000;237.70000;238.72900;232.75000;235.89000
US2.AAPL;D;20100405;000000;235.07000;238.50000;234.80000;238.50000
US2.AAPL;D;20100406;000000;238.33000;240.24000;237.00000;239.65000
US2.AAPL;D;20100407;000000;239.68000;241.92000;238.66080;240.51950
US2.AAPL;D;20100408;000000;240.38000;241.54000;238.04000;239.97000
US2.AAPL;D;20100409;000000;241.46000;241.80000;240.46000;241.79000
US2.AAPL;D;20100412;000000;242.59000;243.07000;241.82000;242.25000
US2.AAPL;D;20100413;000000;242.21000;242.79000;241.12000;242.34000
US2.AAPL;D;20100414;000000;245.20000;245.80000;244.11000;245.69000
US2.AAPL;D;20100415;000000;245.89000;249.01500;245.51000;248.95000
US2.AAPL;D;20100416;000000;248.97000;251.10000;244.57000;247.52000
US2.AAPL;D;20100419;000000;247.00000;247.87000;241.77000;247.00000
US2.AAPL;D;20100420;000000;248.54000;249.25000;242.99000;244.60000
US2.AAPL;D;20100421;000000;258.66000;260.25000;255.73000;259.39000
US2.AAPL;D;20100422;000000;258.10000;266.74970;256.20000;266.47000
US2.AAPL;D;20100423;000000;267.96000;272.18000;267.39000;270.71000
US2.AAPL;D;20100426;000000;271.97000;272.45920;268.19000;269.29000
US2.AAPL;D;20100427;000000;267.15000;267.84000;260.52000;262.14000
US2.AAPL;D;20100428;000000;263.00000;264.00000;256.45000;261.60000
US2.AAPL;D;20100429;000000;263.09000;270.00000;262.03450;268.60000
US2.AAPL;D;20100430;000000;269.75000;270.45000;261.00000;261.09000
US2.AAPL;D;20100503;000000;263.84000;267.88000;262.94000;266.08000
US2.AAPL;D;20100504;000000;262.55000;262.67000;256.75100;258.48000
US2.AAPL;D;20100505;000000;252.60000;258.14000;248.80000;256.00000
US2.AAPL;D;20100506;000000;253.54000;258.24000;200.00000;246.70000
US2.AAPL;D;20100507;000000;243.70000;246.55000;225.22100;235.86000
US2.AAPL;D;20100510;000000;251.50000;254.63900;248.59000;253.99000
US2.AAPL;D;20100511;000000;252.00000;259.89000;250.51000;256.52000
US2.AAPL;D;20100512;000000;259.16000;263.12400;258.72500;262.09000
US2.AAPL;D;20100513;000000;263.06000;265.00000;256.40000;258.25000
US2.AAPL;D;20100514;000000;255.20000;256.46900;249.50000;253.82000
US2.AAPL;D;20100517;000000;254.24000;256.16000;247.76000;253.95000
US2.AAPL;D;20100518;000000;257.05000;258.55000;250.26000;252.36000
US2.AAPL;D;20100519;000000;249.50000;252.92000;244.85000;248.34000
US2.AAPL;D;20100520;000000;241.54500;243.82000;236.25000;237.56000
US2.AAPL;D;20100521;000000;232.30000;244.50000;231.35000;242.32000
US2.AAPL;D;20100524;000000;247.27000;250.90000;246.26010;246.76000
US2.AAPL;D;20100525;000000;239.84000;246.76000;237.25000;245.22000
US2.AAPL;D;20100526;000000;250.16000;252.13000;243.75000;244.10900
US2.AAPL;D;20100527;000000;250.60000;253.89000;249.11000;253.35000
US2.AAPL;D;20100528;000000;259.38810;259.40000;253.35000;256.88000
US2.AAPL;D;20100601;000000;259.69000;265.94000;258.96000;260.80000
US2.AAPL;D;20100602;000000;264.46000;264.80000;260.33500;263.95000
US2.AAPL;D;20100603;000000;265.18000;265.55000;260.41000;263.12000
US2.AAPL;D;20100604;000000;258.26000;261.90000;254.63000;255.96500
US2.AAPL;D;20100607;000000;258.36000;259.15000;250.56000;250.94000
US2.AAPL;D;20100608;000000;253.22000;253.80000;245.65000;249.33000
US2.AAPL;D;20100609;000000;251.47000;251.90000;242.49000;243.20000
US2.AAPL;D;20100610;000000;245.00000;250.98000;242.20000;250.67000
US2.AAPL;D;20100611;000000;248.23000;253.86000;247.37000;253.51000
US2.AAPL;D;20100614;000000;256.00000;259.15000;254.01000;254.28000
US2.AAPL;D;20100615;000000;255.64000;259.85000;255.50000;259.69000
US2.AAPL;D;20100616;000000;261.10000;267.75000;260.63020;267.25000
US2.AAPL;D;20100617;000000;270.60000;272.90000;269.50000;271.87000
US2.AAPL;D;20100618;000000;272.25000;275.00000;271.42000;274.07400
US2.AAPL;D;20100621;000000;277.66500;279.01000;268.73000;270.35000
US2.AAPL;D;20100622;000000;272.24000;275.97000;271.50000;273.85000
US2.AAPL;D;20100623;000000;274.65000;274.65000;267.92000;270.98000
US2.AAPL;D;20100624;000000;270.97000;273.19500;268.10000;269.00000
US2.AAPL;D;20100625;000000;270.05000;270.27000;265.81000;266.70000
US2.AAPL;D;20100628;000000;266.93500;269.75000;264.52000;268.30000
US2.AAPL;D;20100629;000000;264.25000;264.39000;254.30000;256.35000
US2.AAPL;D;20100630;000000;256.71000;257.97000;250.01000;251.53000
US2.AAPL;D;20100701;000000;254.44000;254.79000;243.22000;248.48000
US2.AAPL;D;20100702;000000;250.49000;250.93000;243.20000;246.94000
US2.AAPL;D;20100706;000000;251.20000;252.80000;246.16000;248.63000
US2.AAPL;D;20100707;000000;250.49000;258.77000;249.75000;258.66500
US2.AAPL;D;20100708;000000;262.48000;262.90000;254.89000;258.09000
US2.AAPL;D;20100709;000000;256.89000;259.90000;255.16000;259.62000
