<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
US2.ADBE;D;20100503;000000;33.69000;33.95500;33.40000;33.59000
US2.ADBE;D;20100504;000000;33.13000;33.15000;32.26000;33.14000
US2.ADBE;D;20100505;000000;32.74000;33.58000;32.55000;32.96000
US2.ADBE;D;20100506;000000;32.80000;33.74000;30.53000;32.49000
US2.ADBE;D;20100507;000000;32.59000;32.94000;31.70000;32.44000
US2.ADBE;D;20100510;000000;33.16000;34.28000;33.07000;34.28000
US2.ADBE;D;20100511;000000;33.86000;34.38000;33.72000;33.77000
US2.ADBE;D;20100512;000000;34.54000;34.93000;34.06000;34.80000
US2.ADBE;D;20100513;000000;34.77000;35.40000;34.36970;34.41000
US2.ADBE;D;20100514;000000;34.20000;34.39000;33.26000;33.73000
US2.ADBE;D;20100517;000000;33.84000;34.21000;33.19000;33.79000
US2.ADBE;D;20100518;000000;33.77000;34.31000;33.04000;33.28000
US2.ADBE;D;20100519;000000;33.22000;33.66000;32.53000;32.88000
US2.ADBE;D;20100520;000000;32.29000;32.55000;31.62000;31.75000
US2.ADBE;D;20100521;000000;31.10000;32.33000;30.97000;32.18000
US2.ADBE;D;20100524;000000;31.82000;32.17000;31.61000;31.63000
US2.ADBE;D;20100525;000000;30.75000;31.56000;30.48000;31.55000
US2.ADBE;D;20100526;000000;31.37000;31.71000;30.80000;30.94000
US2.ADBE;D;20100527;000000;31.49000;32.21000;31.39000;32.20000
US2.ADBE;D;20100528;000000;32.19000;32.42000;31.69000;32.08000
US2.ADBE;D;20100601;000000;32.50000;33.04000;32.10000;32.13000
US2.ADBE;D;20100602;000000;32.24000;32.97000;31.79000;32.94000
US2.ADBE;D;20100603;000000;32.92000;33.16000;32.65000;32.90000
US2.ADBE;D;20100604;000000;32.08000;32.47000;31.49000;31.59250
US2.ADBE;D;20100607;000000;31.61000;31.74000;30.94000;31.06000
US2.ADBE;D;20100608;000000;31.15000;31.19000;30.60000;31.00000
US2.ADBE;D;20100609;000000;31.14000;31.52000;30.63000;30.73000
US2.ADBE;D;20100610;000000;31.34000;31.76000;30.83000;31.72000
US2.ADBE;D;20100611;000000;31.21000;31.84000;31.16000;31.73000
US2.ADBE;D;20100614;000000;31.88500;32.38000;31.64000;31.70000
US2.ADBE;D;20100615;000000;31.84000;32.62000;31.78000;32.51000
US2.ADBE;D;20100616;000000;32.42000;32.59000;32.22000;32.44000
US2.ADBE;D;20100617;000000;32.61500;33.22000;32.60010;33.12000
US2.ADBE;D;20100618;000000;33.12000;34.00000;33.04000;33.52000
US2.ADBE;D;20100621;000000;33.81000;33.96000;32.93000;33.14000
US2.ADBE;D;20100622;000000;33.50000;33.67000;32.68000;32.76250
US2.ADBE;D;20100623;000000;32.35000;32.42000;30.18000;30.38000
US2.ADBE;D;20100624;000000;30.36000;30.81000;30.10000;30.26000
US2.ADBE;D;20100625;000000;30.41000;30.57000;29.69000;29.85000
US2.ADBE;D;20100628;000000;29.90000;30.09000;28.71000;28.72000
US2.ADBE;D;20100629;000000;28.36000;28.36000;26.76000;26.90000
US2.ADBE;D;20100630;000000;26.82000;27.20000;26.32000;26.43000
US2.ADBE;D;20100701;000000;26.52000;26.88000;26.01000;26.66000
US2.ADBE;D;20100702;000000;26.69000;26.99000;26.33000;26.73000
US2.ADBE;D;20100706;000000;27.18000;27.37000;26.04000;26.34000
US2.ADBE;D;20100707;000000;26.34000;26.85000;26.20000;26.79000
US2.ADBE;D;20100708;000000;26.96000;27.05000;26.42000;26.85000
US2.ADBE;D;20100709;000000;26.86000;27.24000;26.71000;27.20000
US2.ADBE;D;20100712;000000;27.29000;27.61000;26.94000;27.08000
US2.ADBE;D;20100713;000000;27.37000;28.43000;27.28000;28.10000
US2.ADBE;D;20100714;000000;28.15000;28.42000;27.67000;28.03000
US2.ADBE;D;20100715;000000;28.00000;28.30000;27.72000;28.22000
US2.ADBE;D;20100716;000000;28.27000;28.29000;27.20580;27.39000
US2.ADBE;D;20100719;000000;27.50000;27.80000;27.29010;27.67000
US2.ADBE;D;20100720;000000;27.19000;27.87000;26.94000;27.87000
US2.ADBE;D;20100721;000000;27.94000;28.28000;27.52000;27.67000
US2.ADBE;D;20100722;000000;27.91000;28.74000;27.80000;28.58000
US2.ADBE;D;20100723;000000;28.60000;29.35000;28.54000;29.23000
US2.ADBE;D;20100726;000000;29.15000;29.28000;28.80500;29.17000
US2.ADBE;D;20100727;000000;29.35000;29.39000;28.83000;29.22000
US2.ADBE;D;20100728;000000;29.11000;29.37000;28.59000;28.69000
US2.ADBE;D;20100729;000000;28.78000;29.10000;28.38000;28.70000
US2.ADBE;D;20100730;000000;28.40000;28.83000;28.11000;28.72000
US2.ADBE;D;20100802;000000;29.04000;29.76000;28.90000;29.60000
US2.ADBE;D;20100803;000000;29.48000;29.49000;28.93000;29.12000
US2.ADBE;D;20100804;000000;29.14000;29.75000;29.06000;29.70000
US2.ADBE;D;20100805;000000;29.45000;29.64000;29.24000;29.44000
US2.ADBE;D;20100806;000000;29.05000;29.41500;28.74000;29.23000
US2.ADBE;D;20100809;000000;29.41000;29.54000;29.12000;29.52000
US2.ADBE;D;20100810;000000;29.23000;29.41000;28.76000;29.17000
US2.ADBE;D;20100811;000000;28.77000;28.83000;28.23000;28.25000
US2.ADBE;D;20100812;000000;27.80000;28.33000;27.76000;28.08000
US2.ADBE;D;20100813;000000;27.92000;28.34000;27.86000;28.01000
US2.ADBE;D;20100816;000000;27.78000;27.84000;27.21000;27.36000
US2.ADBE;D;20100817;000000;27.48000;28.07000;27.42000;27.95500
