<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USDJPY;W;20010212;000000;115.80000
USDJPY;W;20010219;000000;115.85000
USDJPY;W;20010226;000000;119.02000
USDJPY;W;20010305;000000;119.84000
USDJPY;W;20010312;000000;122.96000
USDJPY;W;20010319;000000;122.72000
USDJPY;W;20010326;000000;126.33000
USDJPY;W;20010402;000000;123.95000
USDJPY;W;20010409;000000;124.19000
USDJPY;W;20010416;000000;122.43000
USDJPY;W;20010423;000000;124.10000
USDJPY;W;20010430;000000;121.38000
USDJPY;W;20010507;000000;122.43000
USDJPY;W;20010514;000000;123.58000
USDJPY;W;20010521;000000;120.70000
USDJPY;W;20010528;000000;119.30000
USDJPY;W;20010604;000000;120.92000
USDJPY;W;20010611;000000;122.98000
USDJPY;W;20010618;000000;124.55000
USDJPY;W;20010625;000000;124.64000
USDJPY;W;20010702;000000;125.92000
USDJPY;W;20010709;000000;124.99000
USDJPY;W;20010716;000000;122.97000
USDJPY;W;20010723;000000;123.56000
USDJPY;W;20010730;000000;123.89000
USDJPY;W;20010806;000000;122.62000
USDJPY;W;20010813;000000;120.29000
USDJPY;W;20010820;000000;120.09000
USDJPY;W;20010827;000000;118.84000
USDJPY;W;20010903;000000;120.11000
USDJPY;W;20010910;000000;117.40000
USDJPY;W;20010917;000000;116.70000
USDJPY;W;20010924;000000;119.58000
USDJPY;W;20011001;000000;120.47000
USDJPY;W;20011008;000000;121.13000
USDJPY;W;20011015;000000;121.27000
USDJPY;W;20011022;000000;122.65000
USDJPY;W;20011029;000000;121.62000
USDJPY;W;20011105;000000;120.43000
USDJPY;W;20011112;000000;122.99000
USDJPY;W;20011119;000000;124.23000
USDJPY;W;20011126;000000;123.50000
USDJPY;W;20011203;000000;125.66000
USDJPY;W;20011210;000000;127.32000
USDJPY;W;20011217;000000;129.60000
USDJPY;W;20011224;000000;131.07000
USDJPY;W;20011231;000000;130.94000
USDJPY;W;20020107;000000;131.88000
USDJPY;W;20020114;000000;132.75000
USDJPY;W;20020121;000000;134.44000
USDJPY;W;20020128;000000;133.80000
USDJPY;W;20020204;000000;134.77000
USDJPY;W;20020211;000000;132.67000
USDJPY;W;20020218;000000;134.10000
USDJPY;W;20020225;000000;133.15000
USDJPY;W;20020304;000000;128.02000
USDJPY;W;20020311;000000;129.14000
USDJPY;W;20020318;000000;132.77000
USDJPY;W;20020325;000000;132.77000
USDJPY;W;20020401;000000;131.66000
USDJPY;W;20020408;000000;132.06000
USDJPY;W;20020415;000000;130.46000
USDJPY;W;20020422;000000;127.93000
USDJPY;W;20020429;000000;128.33000
USDJPY;W;20020506;000000;128.54000
USDJPY;W;20020513;000000;126.00000
USDJPY;W;20020520;000000;124.74000
USDJPY;W;20020527;000000;124.40000
USDJPY;W;20020603;000000;124.44000
USDJPY;W;20020610;000000;124.21000
USDJPY;W;20020617;000000;121.45000
USDJPY;W;20020624;000000;119.52000
USDJPY;W;20020701;000000;120.42000
USDJPY;W;20020708;000000;116.90000
USDJPY;W;20020715;000000;115.81000
USDJPY;W;20020722;000000;118.88000
USDJPY;W;20020729;000000;118.97000
USDJPY;W;20020805;000000;120.40000
USDJPY;W;20020812;000000;117.55000
USDJPY;W;20020819;000000;119.58000
USDJPY;W;20020826;000000;118.35000
USDJPY;W;20020902;000000;118.55000
USDJPY;W;20020909;000000;121.77000
USDJPY;W;20020916;000000;123.26000
USDJPY;W;20020923;000000;122.57000
USDJPY;W;20020930;000000;123.08000
USDJPY;W;20021007;000000;124.05000
USDJPY;W;20021014;000000;125.52000
USDJPY;W;20021021;000000;124.34000
USDJPY;W;20021028;000000;122.31000
USDJPY;W;20021104;000000;119.84000
USDJPY;W;20021111;000000;120.48000
USDJPY;W;20021118;000000;122.95000
USDJPY;W;20021125;000000;122.59000
USDJPY;W;20021202;000000;123.78000
USDJPY;W;20021209;000000;120.55000
USDJPY;W;20021216;000000;120.39000
USDJPY;W;20021223;000000;119.89000
USDJPY;W;20021230;000000;119.76000
