<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
USDRUB;0;20100122;000008;29.74850;0
USDRUB;0;20100122;000016;29.75400;0
USDRUB;0;20100122;000027;29.74750;0
USDRUB;0;20100122;000040;29.74850;0
USDRUB;0;20100122;000126;29.74750;0
USDRUB;0;20100122;000140;29.74950;0
USDRUB;0;20100122;000150;29.74750;0
USDRUB;0;20100122;000225;29.74850;0
USDRUB;0;20100122;000256;29.74650;0
USDRUB;0;20100122;000326;29.74850;0
USDRUB;0;20100122;000410;29.74650;0
USDRUB;0;20100122;000633;29.74450;0
USDRUB;0;20100122;000639;29.74550;0
USDRUB;0;20100122;000655;29.74650;0
USDRUB;0;20100122;000739;29.74750;0
USDRUB;0;20100122;000809;29.74650;0
USDRUB;0;20100122;000824;29.74850;0
USDRUB;0;20100122;000840;29.74750;0
USDRUB;0;20100122;000855;29.74850;0
USDRUB;0;20100122;000924;29.74950;0
USDRUB;0;20100122;000938;29.74850;0
USDRUB;0;20100122;000954;29.74750;0
USDRUB;0;20100122;001000;29.75900;0
USDRUB;0;20100122;001024;29.74850;0
USDRUB;0;20100122;001040;29.74750;0
USDRUB;0;20100122;001109;29.74950;0
USDRUB;0;20100122;001139;29.75050;0
USDRUB;0;20100122;001155;29.74850;0
USDRUB;0;20100122;001224;29.75050;0
USDRUB;0;20100122;001255;29.74950;0
USDRUB;0;20100122;001309;29.74850;0
USDRUB;0;20100122;001425;29.74950;0
USDRUB;0;20100122;001440;29.74750;0
USDRUB;0;20100122;001555;29.74950;0
USDRUB;0;20100122;001624;29.75050;0
USDRUB;0;20100122;001709;29.74950;0
USDRUB;0;20100122;001728;29.75050;0
USDRUB;0;20100122;001809;29.74950;0
USDRUB;0;20100122;001840;29.75050;0
USDRUB;0;20100122;001856;29.74950;0
USDRUB;0;20100122;001924;29.75250;0
USDRUB;0;20100122;001939;29.75050;0
USDRUB;0;20100122;002000;29.75800;0
USDRUB;0;20100122;002009;29.75250;0
USDRUB;0;20100122;002040;29.75050;0
USDRUB;0;20100122;002057;29.75350;0
USDRUB;0;20100122;002124;29.75050;0
USDRUB;0;20100122;002155;29.74950;0
USDRUB;0;20100122;002209;29.75050;0
USDRUB;0;20100122;002239;29.74850;0
USDRUB;0;20100122;002324;29.74950;0
USDRUB;0;20100122;002426;29.74850;0
USDRUB;0;20100122;002440;29.74950;0
USDRUB;0;20100122;002456;29.74850;0
USDRUB;0;20100122;002524;29.75050;0
USDRUB;0;20100122;002540;29.74850;0
USDRUB;0;20100122;002612;29.75050;0
USDRUB;0;20100122;002655;29.74950;0
USDRUB;0;20100122;002710;29.75250;0
USDRUB;0;20100122;002739;29.74950;0
USDRUB;0;20100122;002757;29.75050;0
USDRUB;0;20100122;002824;29.75250;0
USDRUB;0;20100122;002911;29.75450;0
USDRUB;0;20100122;002927;29.75550;0
USDRUB;0;20100122;002940;29.75450;0
