<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
DJIA;60;20110101;000000;11581.97000;11582.43000;11577.51000;11577.51000;0
DJIA;60;20110103;170000;11580.76000;11694.59000;11577.35000;11693.68000;0
DJIA;60;20110103;180000;11694.06000;11704.46000;11677.26000;11701.63000;0
DJIA;60;20110103;190000;11702.01000;11711.47000;11693.07000;11701.48000;0
DJIA;60;20110103;200000;11701.55000;11709.99000;11693.83000;11699.09000;0
DJIA;60;20110103;210000;11699.39000;11707.30000;11697.20000;11705.64000;0
DJIA;60;20110103;220000;11705.83000;11709.69000;11695.38000;11698.98000;0
DJIA;60;20110105;170000;11689.74000;11689.97000;11652.89000;11667.12000;0
DJIA;60;20110105;180000;11669.01000;11690.39000;11663.82000;11680.81000;0
DJIA;60;20110105;190000;11680.74000;11726.11000;11674.19000;11718.58000;0
DJIA;60;20110105;200000;11718.62000;11740.34000;11717.94000;11735.49000;0
DJIA;60;20110105;210000;11735.34000;11742.68000;11722.21000;11736.48000;0
DJIA;60;20110105;220000;11736.63000;11739.92000;11719.26000;11728.19000;0
DJIA;60;20110105;230000;11728.12000;11737.73000;11716.23000;11723.27000;0
DJIA;60;20110106;000000;11724.71000;11724.71000;11722.89000;11722.89000;0
DJIA;60;20110106;170000;11717.54000;11729.59000;11709.04000;11709.04000;0
DJIA;60;20110106;180000;11708.89000;11736.74000;11701.44000;11706.96000;0
DJIA;60;20110106;190000;11707.04000;11707.27000;11667.46000;11683.69000;0
DJIA;60;20110106;200000;11683.80000;11695.65000;11670.22000;11690.39000;0
DJIA;60;20110106;210000;11690.31000;11699.32000;11675.10000;11699.20000;0
DJIA;60;20110106;220000;11699.96000;11707.00000;11673.25000;11680.59000;0
DJIA;60;20110106;230000;11680.81000;11703.18000;11670.82000;11696.10000;0
DJIA;60;20110107;000000;11694.21000;11697.31000;11694.21000;11697.31000;0
DJIA;60;20110107;170000;11694.82000;11726.94000;11682.82000;11689.93000;0
DJIA;60;20110107;180000;11690.16000;11716.23000;11673.93000;11685.70000;0
DJIA;60;20110107;190000;11685.47000;11687.47000;11635.93000;11654.74000;0
DJIA;60;20110107;200000;11654.59000;11655.38000;11599.68000;11625.41000;0
DJIA;60;20110107;210000;11626.70000;11651.68000;11623.14000;11639.64000;0
DJIA;60;20110107;220000;11639.72000;11665.68000;11637.94000;11656.75000;0
DJIA;60;20110107;230000;11656.82000;11679.07000;11652.43000;11674.53000;0
DJIA;60;20110108;000000;11674.15000;11674.91000;11673.85000;11674.76000;0
DJIA;60;20110110;170000;11672.94000;11677.33000;11573.87000;11578.87000;0
DJIA;60;20110110;180000;11580.12000;11622.27000;11575.61000;11604.30000;0
DJIA;60;20110110;190000;11604.15000;11632.53000;11591.17000;11631.51000;0
DJIA;60;20110110;200000;11631.58000;11639.79000;11619.51000;11628.40000;0
