<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
KO;D;20100503;000000;53.71000;53.94000;53.26500;53.76000
KO;D;20100504;000000;53.35000;53.80000;53.05000;53.18000
KO;D;20100505;000000;53.35000;53.88000;53.20000;53.66000
KO;D;20100506;000000;53.77000;54.19500;51.25000;52.24710
KO;D;20100507;000000;52.19000;52.78000;51.56000;52.67000
KO;D;20100510;000000;53.62000;54.09000;53.50000;54.04000
KO;D;20100511;000000;53.59000;54.07000;53.50000;53.61000
KO;D;20100512;000000;53.74000;54.10000;53.42000;54.02000
KO;D;20100513;000000;53.95000;53.96000;53.45000;53.49000
KO;D;20100514;000000;53.24000;53.65000;52.87000;53.34000
KO;D;20100517;000000;53.48000;53.54000;52.86000;53.41000
KO;D;20100518;000000;53.60000;53.72000;53.08000;53.10000
KO;D;20100519;000000;53.00000;53.35000;52.46000;53.12000
KO;D;20100520;000000;52.46000;52.47000;51.53000;51.54000
KO;D;20100521;000000;50.88000;51.72000;50.31000;51.59000
KO;D;20100524;000000;51.14000;51.86800;51.02000;51.46000
KO;D;20100525;000000;50.34000;50.73000;49.94000;50.62000
KO;D;20100526;000000;50.75000;50.88000;49.94000;50.08000
KO;D;20100527;000000;50.61000;51.25000;50.26000;51.23000
KO;D;20100528;000000;51.18000;51.94940;51.01000;51.40000
KO;D;20100601;000000;51.10000;52.11000;50.73000;51.29000
KO;D;20100602;000000;51.54000;52.41000;51.17000;52.41000
KO;D;20100603;000000;52.67000;53.00000;52.45000;52.75000
KO;D;20100604;000000;52.11000;52.13000;51.02000;51.27000
KO;D;20100607;000000;51.21000;51.50000;50.77000;50.80000
KO;D;20100608;000000;50.74000;51.82000;50.52000;51.56000
KO;D;20100609;000000;51.56000;51.85000;51.17000;51.35000
KO;D;20100610;000000;51.86000;52.50000;51.86000;52.45000
KO;D;20100611;000000;51.61000;51.73000;51.13000;51.65000
KO;D;20100614;000000;51.94000;51.97000;51.46000;51.51000
KO;D;20100615;000000;51.83000;52.20000;51.56000;52.18000
KO;D;20100616;000000;51.83000;52.44000;51.76500;52.40000
KO;D;20100617;000000;52.50000;52.70000;52.03500;52.36000
KO;D;20100618;000000;52.39000;52.73000;52.26000;52.31000
KO;D;20100621;000000;52.92000;52.98000;52.27000;52.48000
KO;D;20100622;000000;52.55000;53.08000;52.43000;52.47000
KO;D;20100623;000000;52.55000;52.65000;52.01000;52.24000
KO;D;20100624;000000;52.24000;52.48000;51.67000;51.80000
KO;D;20100625;000000;51.79000;51.93000;50.26000;50.26000
KO;D;20100628;000000;50.72000;51.38000;50.61000;51.08000
KO;D;20100629;000000;50.58000;50.95000;50.10000;50.33000
KO;D;20100630;000000;50.38000;50.58000;50.02000;50.12000
KO;D;20100701;000000;50.21000;50.21000;49.47000;50.03000
KO;D;20100702;000000;50.22000;50.46000;49.85000;50.05000
KO;D;20100706;000000;50.52000;50.68000;50.02000;50.43000
KO;D;20100707;000000;50.54000;51.59000;50.30000;51.47000
KO;D;20100708;000000;51.68000;52.44000;51.56000;52.42000
KO;D;20100709;000000;52.36000;52.49000;52.07000;52.40000
KO;D;20100712;000000;52.26000;52.47000;51.95000;52.46000
KO;D;20100713;000000;52.74000;52.95000;52.60000;52.73000
KO;D;20100714;000000;52.54000;52.92000;52.42000;52.82000
KO;D;20100715;000000;52.84000;52.95000;52.32000;52.85000
KO;D;20100716;000000;52.77000;53.08000;52.21000;52.37000
KO;D;20100719;000000;52.54000;52.57000;52.05000;52.27000
KO;D;20100720;000000;51.92000;53.36000;51.92000;53.24000
KO;D;20100721;000000;53.50000;54.78500;53.28000;54.08000
KO;D;20100722;000000;54.01000;54.68000;53.97500;54.26000
KO;D;20100723;000000;54.20000;54.83000;53.96000;54.75000
KO;D;20100726;000000;54.83000;54.98000;54.70000;54.94000
KO;D;20100727;000000;54.90000;55.25000;54.82000;55.05000
KO;D;20100728;000000;55.05000;55.20000;54.77000;54.88000
KO;D;20100729;000000;55.08000;55.30500;54.66000;54.99000
KO;D;20100730;000000;54.71000;55.29000;54.43000;55.11000
KO;D;20100802;000000;55.79000;56.49000;55.65000;56.41000
KO;D;20100803;000000;56.27000;56.53000;56.06000;56.38000
KO;D;20100804;000000;56.52000;56.70000;56.21000;56.55000
KO;D;20100805;000000;56.41000;56.42000;55.80000;56.37000
KO;D;20100806;000000;56.01000;56.79000;55.65000;56.75000
KO;D;20100809;000000;56.58000;57.40000;56.58000;57.11000
KO;D;20100810;000000;56.70000;57.40000;56.52000;56.98000
KO;D;20100811;000000;56.24000;56.75000;55.98000;56.04000
KO;D;20100812;000000;55.53000;55.87000;55.35000;55.69000
KO;D;20100813;000000;55.64000;55.98000;55.37000;55.73000
KO;D;20100816;000000;55.51000;55.93000;55.12000;55.88000
KO;D;20100817;000000;56.02000;56.42000;55.50000;56.12000
KO;D;20100818;000000;56.12000;56.12000;55.61000;55.84000
KO;D;20100819;000000;55.52000;55.73000;54.98000;55.28000
KO;D;20100820;000000;55.27000;55.44000;55.04500;55.30000
KO;D;20100823;000000;55.51000;55.87000;55.41000;55.60000
KO;D;20100824;000000;55.15000;55.94000;55.15000;55.66000
KO;D;20100825;000000;55.42000;55.71000;55.06000;55.39000
KO;D;20100826;000000;55.43000;55.51990;54.97000;55.16000
KO;D;20100827;000000;55.53000;56.20000;55.03000;56.16000
KO;D;20100830;000000;56.05000;56.24000;55.51000;55.55000
KO;D;20100831;000000;55.19000;56.04000;55.00000;55.88250
KO;D;20100901;000000;56.38000;57.32000;56.27000;57.31000
KO;D;20100902;000000;57.42000;57.42000;56.86000;57.38000
KO;D;20100903;000000;57.36000;57.60000;57.09000;57.56000
KO;D;20100907;000000;57.52000;57.81000;57.40000;57.63000
KO;D;20100908;000000;57.73000;58.21000;57.70000;57.83000
