<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
MICEX;60;20100929;100000;1414.21000;1417.80000;1413.92000;1415.37000
MICEX;60;20100929;110000;1415.33000;1421.52000;1414.80000;1416.74000
MICEX;60;20100929;120000;1416.96000;1417.35000;1412.92000;1415.49000
MICEX;60;20100929;130000;1415.44000;1421.45000;1415.30000;1420.69000
MICEX;60;20100929;140000;1420.65000;1423.77000;1419.35000;1421.88000
MICEX;60;20100929;150000;1421.86000;1423.19000;1420.76000;1421.71000
MICEX;60;20100929;160000;1421.75000;1422.74000;1418.71000;1418.86000
MICEX;60;20100929;170000;1418.87000;1420.91000;1416.24000;1416.92000
MICEX;60;20100929;180000;1416.78000;1420.45000;1416.32000;1419.18000
MICEX;60;20100930;100000;1418.37000;1423.85000;1417.73000;1423.27000
MICEX;60;20100930;110000;1423.13000;1428.20000;1421.71000;1427.13000
MICEX;60;20100930;120000;1427.32000;1427.87000;1424.51000;1426.94000
MICEX;60;20100930;130000;1426.96000;1429.13000;1424.90000;1425.84000
MICEX;60;20100930;140000;1425.80000;1426.45000;1423.77000;1424.38000
MICEX;60;20100930;150000;1424.35000;1425.15000;1423.23000;1423.85000
MICEX;60;20100930;160000;1423.87000;1433.42000;1423.84000;1430.91000
MICEX;60;20100930;170000;1430.91000;1441.22000;1430.91000;1438.12000
MICEX;60;20100930;180000;1438.10000;1440.34000;1435.26000;1440.30000
MICEX;60;20101001;100000;1439.73000;1441.21000;1437.54000;1437.59000
MICEX;60;20101001;110000;1437.55000;1444.11000;1436.32000;1444.01000
MICEX;60;20101001;120000;1444.02000;1446.99000;1440.66000;1442.44000
MICEX;60;20101001;130000;1442.36000;1447.15000;1442.16000;1446.72000
MICEX;60;20101001;140000;1446.76000;1452.75000;1446.75000;1449.67000
MICEX;60;20101001;150000;1449.74000;1456.49000;1448.15000;1455.60000
MICEX;60;20101001;160000;1455.59000;1461.49000;1455.59000;1461.49000
MICEX;60;20101001;170000;1461.37000;1462.22000;1457.97000;1460.69000
MICEX;60;20101001;180000;1460.52000;1461.96000;1454.21000;1455.63000
MICEX;60;20101004;100000;1459.19000;1467.29000;1459.19000;1465.53000
MICEX;60;20101004;110000;1465.50000;1467.79000;1458.76000;1461.53000
MICEX;60;20101004;120000;1461.53000;1464.99000;1456.69000;1457.38000
MICEX;60;20101004;130000;1457.32000;1458.71000;1455.12000;1457.21000
MICEX;60;20101004;140000;1457.19000;1463.26000;1456.86000;1460.60000
MICEX;60;20101004;150000;1460.61000;1467.63000;1460.55000;1467.63000
MICEX;60;20101004;160000;1467.52000;1469.08000;1465.02000;1465.33000
MICEX;60;20101004;170000;1465.35000;1470.78000;1463.83000;1467.17000
MICEX;60;20101004;180000;1467.11000;1468.35000;1463.90000;1465.09000
MICEX;60;20101005;100000;1464.47000;1466.90000;1458.79000;1460.57000
MICEX;60;20101005;110000;1460.56000;1469.10000;1460.50000;1469.01000
MICEX;60;20101005;120000;1469.02000;1471.89000;1468.38000;1468.82000
MICEX;60;20101005;130000;1468.80000;1468.80000;1464.17000;1464.81000
MICEX;60;20101005;140000;1464.81000;1466.27000;1462.33000;1463.44000
MICEX;60;20101005;150000;1463.44000;1464.65000;1456.01000;1456.98000
MICEX;60;20101005;160000;1456.98000;1463.22000;1456.18000;1463.04000
MICEX;60;20101005;170000;1463.06000;1467.33000;1461.86000;1467.33000
MICEX;60;20101005;180000;1466.93000;1474.41000;1466.37000;1474.03000
MICEX;60;20101006;100000;1480.91000;1485.64000;1480.91000;1483.39000
MICEX;60;20101006;110000;1483.28000;1484.32000;1476.37000;1478.83000
MICEX;60;20101006;120000;1478.84000;1479.95000;1475.51000;1479.65000
MICEX;60;20101006;130000;1479.51000;1480.94000;1478.14000;1480.69000
MICEX;60;20101006;140000;1480.72000;1482.96000;1480.00000;1480.25000
MICEX;60;20101006;150000;1480.24000;1480.66000;1474.58000;1475.52000
MICEX;60;20101006;160000;1475.53000;1475.53000;1465.70000;1469.96000
MICEX;60;20101006;170000;1469.95000;1473.86000;1468.92000;1472.34000
MICEX;60;20101006;180000;1472.37000;1475.31000;1469.65000;1475.12000
MICEX;60;20101007;100000;1476.96000;1479.89000;1472.12000;1479.53000
MICEX;60;20101007;110000;1479.72000;1480.16000;1469.91000;1471.50000
MICEX;60;20101007;120000;1471.53000;1475.63000;1471.27000;1471.65000
MICEX;60;20101007;130000;1471.61000;1474.22000;1469.65000;1473.81000
MICEX;60;20101007;140000;1473.85000;1476.32000;1473.29000;1473.69000
MICEX;60;20101007;150000;1473.71000;1473.85000;1470.80000;1471.48000
MICEX;60;20101007;160000;1471.16000;1478.10000;1468.34000;1476.21000
MICEX;60;20101007;170000;1476.18000;1477.47000;1468.79000;1468.79000
MICEX;60;20101007;180000;1468.47000;1469.04000;1465.85000;1468.31000
MICEX;60;20101008;100000;1466.00000;1468.17000;1463.47000;1463.86000
MICEX;60;20101008;110000;1463.76000;1465.99000;1459.38000;1462.19000
MICEX;60;20101008;120000;1462.14000;1462.79000;1456.48000;1456.86000
MICEX;60;20101008;130000;1456.72000;1460.22000;1456.11000;1458.09000
MICEX;60;20101008;140000;1458.11000;1458.14000;1453.66000;1455.88000
MICEX;60;20101008;150000;1455.95000;1456.19000;1453.38000;1456.00000
MICEX;60;20101008;160000;1456.06000;1461.86000;1454.72000;1457.07000
MICEX;60;20101008;170000;1457.11000;1462.11000;1455.78000;1461.90000
MICEX;60;20101008;180000;1461.87000;1464.82000;1461.83000;1464.67000
MICEX;60;20101011;100000;1465.42000;1476.46000;1465.42000;1476.43000
MICEX;60;20101011;110000;1476.43000;1479.01000;1474.59000;1477.50000
MICEX;60;20101011;120000;1477.64000;1478.92000;1476.47000;1478.45000
MICEX;60;20101011;130000;1478.52000;1479.47000;1477.28000;1478.01000
MICEX;60;20101011;140000;1478.01000;1478.27000;1476.29000;1477.06000
MICEX;60;20101011;150000;1477.12000;1479.38000;1476.98000;1479.14000
MICEX;60;20101011;160000;1479.14000;1479.61000;1478.03000;1479.12000
MICEX;60;20101011;170000;1479.09000;1479.36000;1477.14000;1478.12000
MICEX;60;20101011;180000;1478.06000;1482.22000;1477.86000;1482.11000
MICEX;60;20101012;100000;1473.38000;1473.38000;1469.32000;1471.00000
MICEX;60;20101012;110000;1470.98000;1472.79000;1469.10000;1470.14000
MICEX;60;20101012;120000;1470.02000;1471.55000;1466.73000;1471.44000
MICEX;60;20101012;130000;1471.59000;1474.61000;1471.17000;1473.65000
MICEX;60;20101012;140000;1473.65000;1479.53000;1473.64000;1479.28000
MICEX;60;20101012;150000;1479.31000;1481.66000;1477.47000;1480.45000
MICEX;60;20101012;160000;1480.46000;1480.69000;1476.23000;1477.70000
MICEX;60;20101012;170000;1477.63000;1478.82000;1474.41000;1476.46000
MICEX;60;20101012;180000;1476.47000;1478.78000;1476.08000;1477.78000
MICEX;60;20101013;100000;1481.72000;1489.04000;1481.72000;1489.04000
MICEX;60;20101013;110000;1488.94000;1492.75000;1487.06000;1492.49000
MICEX;60;20101013;120000;1492.59000;1495.70000;1492.48000;1493.37000
MICEX;60;20101013;130000;1493.43000;1497.57000;1493.08000;1497.08000
MICEX;60;20101013;140000;1497.21000;1497.74000;1489.71000;1490.83000
MICEX;60;20101013;150000;1490.84000;1492.34000;1484.03000;1485.97000
MICEX;60;20101013;160000;1485.96000;1487.25000;1484.17000;1486.34000
MICEX;60;20101013;170000;1486.19000;1488.86000;1484.00000;1487.28000
MICEX;60;20101013;180000;1487.32000;1493.89000;1487.14000;1493.21000
MICEX;60;20101014;100000;1498.95000;1499.87000;1495.60000;1498.24000
MICEX;60;20101014;110000;1498.21000;1500.42000;1496.57000;1499.09000
MICEX;60;20101014;120000;1499.03000;1499.49000;1492.80000;1495.67000
MICEX;60;20101014;130000;1495.67000;1496.94000;1492.67000;1492.70000
MICEX;60;20101014;140000;1492.57000;1494.01000;1491.26000;1493.56000
MICEX;60;20101014;150000;1493.56000;1493.56000;1490.98000;1492.95000
MICEX;60;20101014;160000;1492.90000;1495.29000;1492.46000;1494.92000
