<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
MSNG;D;20100111;000000;3.30000;3.39500;3.30000;3.37900
MSNG;D;20100112;000000;3.37900;3.38900;3.33300;3.38900
MSNG;D;20100113;000000;3.35500;3.45700;3.31100;3.44300
MSNG;D;20100114;000000;3.42100;3.63900;3.40400;3.60000
MSNG;D;20100115;000000;3.60000;3.78000;3.56200;3.65000
MSNG;D;20100118;000000;3.65000;3.81500;3.60900;3.79400
MSNG;D;20100119;000000;3.80400;3.86500;3.65000;3.76000
MSNG;D;20100120;000000;3.70400;3.83900;3.70400;3.82000
MSNG;D;20100121;000000;3.82500;3.98000;3.75000;3.75800
MSNG;D;20100122;000000;3.72000;3.72000;3.52000;3.63300
MSNG;D;20100125;000000;3.56000;3.61500;3.54200;3.57600
MSNG;D;20100126;000000;3.57000;3.60900;3.45400;3.59800
MSNG;D;20100127;000000;3.59800;3.71900;3.57000;3.66000
MSNG;D;20100128;000000;3.69000;3.77000;3.63200;3.68900
MSNG;D;20100129;000000;3.62700;3.74900;3.60300;3.72700
MSNG;D;20100201;000000;3.67800;3.70500;3.65500;3.66000
MSNG;D;20100202;000000;3.66000;3.67000;3.63400;3.64700
MSNG;D;20100203;000000;3.66000;3.69600;3.64500;3.65500
MSNG;D;20100204;000000;3.63000;3.66500;3.46600;3.48900
MSNG;D;20100205;000000;3.42000;3.43000;3.28200;3.32000
MSNG;D;20100208;000000;3.30900;3.32300;3.15300;3.19300
MSNG;D;20100209;000000;3.19700;3.23500;3.15500;3.20000
MSNG;D;20100210;000000;3.21000;3.33700;3.18000;3.21200
MSNG;D;20100211;000000;3.24000;3.34000;3.16200;3.17800
MSNG;D;20100212;000000;3.19000;3.22500;3.06900;3.12100
MSNG;D;20100215;000000;3.12000;3.18500;3.10000;3.17200
MSNG;D;20100216;000000;3.18000;3.34600;3.17500;3.34000
MSNG;D;20100217;000000;3.39200;3.39200;3.30300;3.34000
MSNG;D;20100218;000000;3.32700;3.33900;3.24800;3.30500
MSNG;D;20100219;000000;3.25000;3.31600;3.22100;3.30000
MSNG;D;20100224;000000;3.27100;3.34000;3.22600;3.33000
MSNG;D;20100225;000000;3.30300;3.34900;3.27400;3.30600
MSNG;D;20100226;000000;3.33300;3.49600;3.30000;3.46600
MSNG;D;20100227;000000;3.46800;3.55000;3.44500;3.53000
MSNG;D;20100301;000000;3.53000;3.66500;3.53000;3.66000
MSNG;D;20100302;000000;3.64100;3.66000;3.57000;3.61600
MSNG;D;20100303;000000;3.61600;3.69000;3.58000;3.68000
MSNG;D;20100304;000000;3.65000;3.75100;3.58000;3.62400
MSNG;D;20100305;000000;3.66000;3.75000;3.65200;3.73000
MSNG;D;20100309;000000;3.72700;3.80900;3.68000;3.78000
MSNG;D;20100310;000000;3.80900;3.84000;3.75200;3.78000
MSNG;D;20100311;000000;3.77500;3.81700;3.73600;3.74500
MSNG;D;20100312;000000;3.75100;3.79000;3.73600;3.74000
MSNG;D;20100315;000000;3.73800;3.75900;3.65500;3.69900
MSNG;D;20100316;000000;3.70300;3.80000;3.70200;3.77800
MSNG;D;20100317;000000;3.80000;3.82500;3.73000;3.74200
MSNG;D;20100318;000000;3.73400;3.83000;3.72000;3.79300
MSNG;D;20100319;000000;3.80000;3.82000;3.71400;3.73000
MSNG;D;20100322;000000;3.71200;3.73000;3.66000;3.68000
MSNG;D;20100323;000000;3.72000;3.75900;3.69000;3.70900
MSNG;D;20100324;000000;3.70900;3.73300;3.68000;3.73300
MSNG;D;20100325;000000;3.73300;3.74000;3.69000;3.72000
MSNG;D;20100326;000000;3.72000;3.75000;3.70300;3.73500
MSNG;D;20100329;000000;3.72200;3.87800;3.70700;3.85000
MSNG;D;20100330;000000;3.86800;3.93000;3.84600;3.91300
MSNG;D;20100331;000000;3.90300;3.99000;3.87300;3.96000
MSNG;D;20100401;000000;3.97000;4.07300;3.95000;4.06200
MSNG;D;20100402;000000;4.06900;4.12900;3.96100;4.08800
MSNG;D;20100405;000000;4.10000;4.17000;4.06100;4.12400
MSNG;D;20100406;000000;4.13100;4.22000;4.08700;4.17600
MSNG;D;20100407;000000;4.17700;4.22000;3.97000;3.99200
MSNG;D;20100408;000000;3.96000;4.02500;3.86000;3.96800
MSNG;D;20100409;000000;3.99700;4.06400;3.99700;4.03400
MSNG;D;20100412;000000;4.07500;4.13400;4.04000;4.06500
MSNG;D;20100413;000000;4.07000;4.07000;4.01500;4.04800
MSNG;D;20100414;000000;4.05000;4.09700;4.04200;4.06400
MSNG;D;20100415;000000;4.06900;4.07000;4.01500;4.05900
MSNG;D;20100416;000000;4.02200;4.03700;3.93900;3.94500
MSNG;D;20100419;000000;3.84500;3.90900;3.75100;3.90600
MSNG;D;20100420;000000;3.90600;4.00000;3.90600;3.93500
MSNG;D;20100421;000000;3.94500;4.02700;3.83000;3.84000
MSNG;D;20100422;000000;3.84000;3.85300;3.67000;3.67600
MSNG;D;20100423;000000;3.67500;3.81900;3.66000;3.81000
MSNG;D;20100426;000000;3.81500;3.91000;3.81500;3.84400
MSNG;D;20100427;000000;3.81000;3.84700;3.70000;3.70000
MSNG;D;20100428;000000;3.55000;3.64800;3.45200;3.57900
MSNG;D;20100429;000000;3.57900;3.64800;3.54400;3.59300
MSNG;D;20100430;000000;3.60000;3.64700;3.50100;3.50300
MSNG;D;20100504;000000;3.50300;3.55000;3.30200;3.33600
MSNG;D;20100505;000000;3.33600;3.34800;3.18200;3.26300
MSNG;D;20100506;000000;3.25300;3.25900;3.15100;3.16700
MSNG;D;20100507;000000;3.05000;3.08700;2.83600;2.87900
MSNG;D;20100511;000000;3.03000;3.24300;3.00000;3.16700
MSNG;D;20100512;000000;3.15100;3.37000;3.15000;3.36000
MSNG;D;20100513;000000;3.38000;3.45000;3.33000;3.38500
MSNG;D;20100514;000000;3.35100;3.38000;3.21800;3.33000
MSNG;D;20100517;000000;3.29700;3.34500;3.17100;3.32600
MSNG;D;20100518;000000;3.32000;3.43600;3.32000;3.42000
MSNG;D;20100519;000000;3.38100;3.39600;3.23000;3.31300
MSNG;D;20100520;000000;3.30000;3.37000;3.17300;3.22000
MSNG;D;20100521;000000;3.18800;3.29500;3.10100;3.29000
MSNG;D;20100524;000000;3.30100;3.38800;3.22900;3.26800
MSNG;D;20100525;000000;3.20000;3.20000;3.00000;3.11000
MSNG;D;20100526;000000;3.12500;3.24000;3.12200;3.23700
MSNG;D;20100527;000000;3.24200;3.38800;3.20500;3.38400
MSNG;D;20100528;000000;3.39600;3.45000;3.27000;3.31600
MSNG;D;20100531;000000;3.33200;3.38500;3.28300;3.35000
MSNG;D;20100601;000000;3.33800;3.33800;3.22500;3.27100
MSNG;D;20100602;000000;3.22200;3.29700;3.20100;3.29000
MSNG;D;20100603;000000;3.40000;3.41800;3.31500;3.34600
MSNG;D;20100604;000000;3.34600;3.41000;3.31200;3.34300
MSNG;D;20100607;000000;3.17200;3.30700;3.13100;3.26900
MSNG;D;20100608;000000;3.29800;3.30000;3.20000;3.22000
MSNG;D;20100609;000000;3.22000;3.24000;3.18100;3.20700
MSNG;D;20100610;000000;3.22000;3.22500;3.12000;3.20000
MSNG;D;20100611;000000;3.21000;3.22400;3.16100;3.19000
MSNG;D;20100615;000000;3.19000;3.27600;3.18000;3.22000
MSNG;D;20100616;000000;3.22000;3.23000;3.17000;3.18400
MSNG;D;20100617;000000;3.18500;3.23000;3.14500;3.23000
MSNG;D;20100618;000000;3.23000;3.23600;3.15000;3.15900
MSNG;D;20100621;000000;3.17000;3.22100;3.16700;3.20400
MSNG;D;20100622;000000;3.20000;3.21900;3.17500;3.19800
MSNG;D;20100623;000000;3.18100;3.22000;3.17300;3.17900
MSNG;D;20100624;000000;3.18000;3.19000;3.13000;3.17900
MSNG;D;20100625;000000;3.16200;3.18500;3.11300;3.14900
MSNG;D;20100628;000000;3.16000;3.17400;3.11500;3.14000
MSNG;D;20100629;000000;3.11000;3.11000;2.99600;3.02900
MSNG;D;20100630;000000;3.02100;3.04800;2.89900;2.90000
MSNG;D;20100701;000000;2.87100;2.89700;2.71000;2.73400
MSNG;D;20100702;000000;2.75500;2.84700;2.73600;2.73600
MSNG;D;20100705;000000;2.75500;2.77900;2.73000;2.75000
MSNG;D;20100706;000000;2.76300;2.94000;2.75600;2.94000
MSNG;D;20100707;000000;2.89700;2.99800;2.86800;2.96600
MSNG;D;20100708;000000;3.00200;3.08800;2.98000;3.00000
MSNG;D;20100709;000000;3.01800;3.06100;2.97100;3.05200
MSNG;D;20100712;000000;3.00300;3.09600;3.00300;3.05500
MSNG;D;20100713;000000;3.04900;3.08500;3.02000;3.06300
MSNG;D;20100714;000000;3.12700;3.15000;3.02100;3.03500
MSNG;D;20100715;000000;3.05600;3.06000;2.95100;2.97800
MSNG;D;20100716;000000;2.97800;2.98800;2.92900;2.93700
MSNG;D;20100719;000000;2.92000;2.95200;2.86700;2.94000
MSNG;D;20100720;000000;2.94500;2.95000;2.91500;2.92500
MSNG;D;20100721;000000;2.93000;2.99300;2.92900;2.99000
MSNG;D;20100722;000000;2.97100;3.04500;2.96900;3.04500
MSNG;D;20100723;000000;3.04600;3.09000;2.99600;3.04800
MSNG;D;20100726;000000;3.06300;3.11000;3.03000;3.07000
MSNG;D;20100727;000000;3.07800;3.10000;3.06000;3.09000
MSNG;D;20100728;000000;3.10100;3.10200;3.05900;3.09000
MSNG;D;20100729;000000;3.09500;3.13100;3.07300;3.12500
MSNG;D;20100730;000000;3.09200;3.09900;3.02100;3.08200
MSNG;D;20100802;000000;3.10000;3.19600;3.08200;3.17400
MSNG;D;20100803;000000;3.18900;3.25000;3.15000;3.21000
MSNG;D;20100804;000000;3.22500;3.24800;3.16400;3.16800
MSNG;D;20100805;000000;3.17000;3.23900;3.16600;3.19300
MSNG;D;20100806;000000;3.20700;3.22300;3.17100;3.19100
MSNG;D;20100809;000000;3.19900;3.23500;3.18300;3.22500
MSNG;D;20100810;000000;3.21100;3.25000;3.15900;3.17700
MSNG;D;20100811;000000;3.16700;3.17000;3.11200;3.13400
MSNG;D;20100812;000000;3.13000;3.16400;3.07600;3.11500
MSNG;D;20100813;000000;3.12800;3.16400;3.12400;3.16000
MSNG;D;20100816;000000;3.16400;3.16400;3.11700;3.14000
MSNG;D;20100817;000000;3.15300;3.20000;3.13500;3.18500
MSNG;D;20100818;000000;3.18500;3.18500;3.13500;3.18400
MSNG;D;20100819;000000;3.18500;3.21300;3.16500;3.17900
MSNG;D;20100820;000000;3.17500;3.21200;3.16000;3.16200
MSNG;D;20100823;000000;3.16300;3.17800;3.15600;3.16900
MSNG;D;20100824;000000;3.14100;3.14800;3.05100;3.11700
MSNG;D;20100825;000000;3.10000;3.15000;3.04900;3.08400
MSNG;D;20100826;000000;3.10000;3.13900;3.09300;3.13900
MSNG;D;20100827;000000;3.13000;3.18000;3.10000;3.15900
MSNG;D;20100830;000000;3.19100;3.20000;3.15300;3.15500
MSNG;D;20100831;000000;3.10000;3.12900;3.07600;3.12300
MSNG;D;20100901;000000;3.12300;3.17800;3.11500;3.17400
MSNG;D;20100902;000000;3.18600;3.19500;3.14900;3.15900
MSNG;D;20100903;000000;3.15700;3.21400;3.15200;3.19300
