<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
US1.XRX;30;20101101;163000;11.80000;11.90000;11.78000;11.82000
US1.XRX;30;20101101;170000;11.84000;11.90000;11.82000;11.84100
US1.XRX;30;20101101;173000;11.85000;11.87000;11.81000;11.81010
US1.XRX;30;20101101;180000;11.81000;11.82000;11.71000;11.72000
US1.XRX;30;20101101;183000;11.72000;11.74000;11.68000;11.71000
US1.XRX;30;20101101;190000;11.71750;11.74000;11.69000;11.72000
US1.XRX;30;20101101;193000;11.72000;11.74000;11.68000;11.69800
US1.XRX;30;20101101;200000;11.70000;11.70000;11.65000;11.67000
US1.XRX;30;20101101;203000;11.67000;11.72000;11.66500;11.71000
US1.XRX;30;20101101;210000;11.70500;11.73500;11.67000;11.67000
US1.XRX;30;20101101;213000;11.67000;11.67500;11.60000;11.63500
US1.XRX;30;20101101;220000;11.64000;11.64000;11.52000;11.56000
US1.XRX;30;20101101;223000;11.57000;11.63000;11.56000;11.61000
US1.XRX;30;20101101;230000;11.61000;11.62000;11.61000;11.61000
US1.XRX;30;20101102;163000;11.74000;11.85000;11.73000;11.79000
US1.XRX;30;20101102;170000;11.79000;11.80000;11.71000;11.71000
US1.XRX;30;20101102;173000;11.71000;11.72000;11.70000;11.71000
US1.XRX;30;20101102;180000;11.72000;11.77000;11.71000;11.76000
US1.XRX;30;20101102;183000;11.76500;11.77000;11.70000;11.70000
US1.XRX;30;20101102;190000;11.70900;11.75000;11.70000;11.72000
US1.XRX;30;20101102;193000;11.72000;11.75000;11.70220;11.74000
US1.XRX;30;20101102;200000;11.74000;11.75000;11.73000;11.73500
US1.XRX;30;20101102;203000;11.74000;11.75000;11.73000;11.75000
US1.XRX;30;20101102;210000;11.75500;11.75500;11.73000;11.74500
US1.XRX;30;20101102;213000;11.74500;11.75000;11.72000;11.72000
US1.XRX;30;20101102;220000;11.72000;11.73000;11.71000;11.72000
US1.XRX;30;20101102;223000;11.72000;11.73000;11.69000;11.71500
US1.XRX;30;20101102;230000;11.71000;11.72000;11.71000;11.72000
US1.XRX;30;20101103;163000;11.74000;11.80000;11.73000;11.74990
US1.XRX;30;20101103;170000;11.75000;11.77000;11.72000;11.74990
US1.XRX;30;20101103;173000;11.74000;11.75000;11.64000;11.68900
US1.XRX;30;20101103;180000;11.69000;11.70000;11.60000;11.61900
US1.XRX;30;20101103;183000;11.60000;11.65000;11.60000;11.65000
US1.XRX;30;20101103;190000;11.65000;11.65000;11.57000;11.59000
US1.XRX;30;20101103;193000;11.58910;11.63000;11.58000;11.61000
US1.XRX;30;20101103;200000;11.61000;11.65000;11.61000;11.63000
US1.XRX;30;20101103;203000;11.64000;11.66000;11.62000;11.63000
US1.XRX;30;20101103;210000;11.63000;11.71000;11.56000;11.56000
US1.XRX;30;20101103;213000;11.56500;11.73250;11.52000;11.70000
US1.XRX;30;20101103;220000;11.71000;11.76000;11.70440;11.72000
US1.XRX;30;20101103;223000;11.71500;11.73000;11.65000;11.70000
US1.XRX;30;20101103;230000;11.71000;11.71000;11.70000;11.70000
US1.XRX;30;20101104;163000;11.86000;11.95500;11.82000;11.89000
US1.XRX;30;20101104;170000;11.89750;11.90000;11.83000;11.89500
US1.XRX;30;20101104;173000;11.89000;11.95000;11.87000;11.94000
US1.XRX;30;20101104;180000;11.94000;11.95500;11.89200;11.93000
US1.XRX;30;20101104;183000;11.92900;11.93000;11.88000;11.90000
US1.XRX;30;20101104;190000;11.90000;11.92000;11.88000;11.91380
US1.XRX;30;20101104;193000;11.92000;11.94000;11.89000;11.92000
US1.XRX;30;20101104;200000;11.93000;11.93000;11.91000;11.93000
US1.XRX;30;20101104;203000;11.93000;11.94000;11.89000;11.89000
US1.XRX;30;20101104;210000;11.89000;11.90500;11.87000;11.87000
US1.XRX;30;20101104;213000;11.87000;11.88000;11.87000;11.87000
US1.XRX;30;20101104;220000;11.88000;11.92000;11.87000;11.91370
US1.XRX;30;20101104;223000;11.91500;11.94000;11.87000;11.92000
US1.XRX;30;20101104;230000;11.92000;11.93000;11.92000;11.93000
US1.XRX;30;20101105;163000;11.90000;11.93000;11.85000;11.88000
US1.XRX;30;20101105;170000;11.89000;11.94000;11.88000;11.93000
US1.XRX;30;20101105;173000;11.93050;11.95000;11.93000;11.93750
US1.XRX;30;20101105;180000;11.94000;11.94000;11.91000;11.93200
US1.XRX;30;20101105;183000;11.93500;11.94000;11.87000;11.87500
US1.XRX;30;20101105;190000;11.87100;11.92000;11.87000;11.89000
US1.XRX;30;20101105;193000;11.89000;11.94000;11.88000;11.93000
US1.XRX;30;20101105;200000;11.93000;11.93000;11.92000;11.92000
US1.XRX;30;20101105;203000;11.92000;11.93000;11.89000;11.89000
US1.XRX;30;20101105;210000;11.89000;11.90000;11.82000;11.85000
US1.XRX;30;20101105;213000;11.84900;11.88000;11.84000;11.87000
US1.XRX;30;20101105;220000;11.87500;11.88000;11.84000;11.87000
US1.XRX;30;20101105;223000;11.87000;11.92000;11.86000;11.90000
US1.XRX;30;20101105;230000;11.90000;11.90000;11.90000;11.90000
US1.XRX;30;20101108;173000;11.80000;11.88000;11.66000;11.72000
US1.XRX;30;20101108;180000;11.71870;11.80000;11.68000;11.77000
US1.XRX;30;20101108;183000;11.77000;11.78000;11.67000;11.68000
US1.XRX;30;20101108;190000;11.67000;11.74000;11.66000;11.71960
US1.XRX;30;20101108;193000;11.72000;11.72000;11.66800;11.68800
US1.XRX;30;20101108;200000;11.69000;11.72000;11.68000;11.70000
US1.XRX;30;20101108;203000;11.71000;11.71000;11.67000;11.70500
US1.XRX;30;20101108;210000;11.71000;11.72000;11.68000;11.68000
US1.XRX;30;20101108;213000;11.69000;11.71000;11.68000;11.69000
US1.XRX;30;20101108;220000;11.69000;11.72000;11.69000;11.70000
US1.XRX;30;20101108;223000;11.70000;11.70020;11.66000;11.70000
US1.XRX;30;20101108;230000;11.70000;11.71000;11.69000;11.70000
US1.XRX;30;20101108;233000;11.71000;11.74000;11.69000;11.72000
US1.XRX;30;20101109;000000;11.73000;11.73000;11.72000;11.73000
US1.XRX;30;20101109;173000;11.79000;11.84000;11.73000;11.84000
US1.XRX;30;20101109;180000;11.84000;11.95000;11.84000;11.93000
US1.XRX;30;20101109;183000;11.92000;11.94000;11.89000;11.93000
US1.XRX;30;20101109;190000;11.93000;11.94000;11.87000;11.91500
US1.XRX;30;20101109;193000;11.92000;11.95000;11.89000;11.89000
US1.XRX;30;20101109;200000;11.89000;11.94000;11.88000;11.94000
US1.XRX;30;20101109;203000;11.93500;11.94000;11.90000;11.91000
US1.XRX;30;20101109;210000;11.92000;11.93000;11.81000;11.81500
US1.XRX;30;20101109;213000;11.82000;11.83000;11.73000;11.75050
US1.XRX;30;20101109;220000;11.76000;11.81000;11.75000;11.79000
US1.XRX;30;20101109;223000;11.78300;11.82000;11.78000;11.78000
US1.XRX;30;20101109;230000;11.79000;11.79000;11.75490;11.77000
US1.XRX;30;20101109;233000;11.76500;11.79000;11.70000;11.76000
US1.XRX;30;20101110;000000;11.76000;11.77000;11.75000;11.77000
US1.XRX;30;20101110;173000;11.76000;11.80000;11.60500;11.64000
US1.XRX;30;20101110;180000;11.64000;11.66000;11.51000;11.51100
US1.XRX;30;20101110;183000;11.52000;11.55000;11.47000;11.47000
US1.XRX;30;20101110;190000;11.48000;11.52000;11.46000;11.51000
US1.XRX;30;20101110;193000;11.51000;11.72000;11.51000;11.69000
US1.XRX;30;20101110;200000;11.69000;11.69020;11.64000;11.67000
