<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
USDJPY;W;20010212;000000;114.65000;115.89000;114.58000;115.80000
USDJPY;W;20010219;000000;115.80000;117.21000;115.24000;115.85000
USDJPY;W;20010226;000000;115.90000;119.39000;115.82000;119.02000
USDJPY;W;20010305;000000;119.27000;119.91000;118.29000;119.84000
USDJPY;W;20010312;000000;120.08000;123.24000;119.27000;122.96000
USDJPY;W;20010319;000000;122.96000;124.42000;121.96000;122.72000
USDJPY;W;20010326;000000;123.01000;126.37000;122.98000;126.33000
USDJPY;W;20010402;000000;126.32000;126.90000;123.93000;123.95000
USDJPY;W;20010409;000000;124.91000;125.54000;122.98000;124.19000
USDJPY;W;20010416;000000;124.66000;125.02000;120.93000;122.43000
USDJPY;W;20010423;000000;121.90000;124.41000;121.16000;124.10000
USDJPY;W;20010430;000000;121.48000;121.73000;120.63000;121.38000
USDJPY;W;20010507;000000;121.30000;122.91000;120.85000;122.43000
USDJPY;W;20010514;000000;122.52000;124.13000;122.48000;123.58000
USDJPY;W;20010521;000000;123.70000;123.80000;118.93000;120.70000
USDJPY;W;20010528;000000;121.04000;121.45000;118.33000;119.30000
USDJPY;W;20010604;000000;119.14000;121.02000;118.74000;120.92000
USDJPY;W;20010611;000000;120.88000;123.29000;120.88000;122.98000
USDJPY;W;20010618;000000;123.09000;124.79000;122.58000;124.55000
USDJPY;W;20010625;000000;124.32000;125.06000;123.31000;124.64000
USDJPY;W;20010702;000000;124.77000;126.14000;123.78000;125.92000
USDJPY;W;20010709;000000;125.55000;125.96000;123.53000;124.99000
USDJPY;W;20010716;000000;124.67000;125.60000;122.68000;122.97000
USDJPY;W;20010723;000000;123.07000;124.49000;123.07000;123.56000
USDJPY;W;20010730;000000;123.29000;125.42000;123.22000;123.89000
USDJPY;W;20010806;000000;124.10000;124.23000;121.38000;122.62000
USDJPY;W;20010813;000000;122.01000;123.22000;119.08000;120.29000
USDJPY;W;20010820;000000;120.33000;120.92000;119.46000;120.09000
USDJPY;W;20010827;000000;120.16000;120.88000;118.47000;118.84000
USDJPY;W;20010903;000000;119.06000;121.60000;118.55000;120.11000
USDJPY;W;20010910;000000;120.16000;122.15000;116.87000;117.40000
USDJPY;W;20010917;000000;117.57000;118.40000;115.75000;116.70000
USDJPY;W;20010924;000000;116.54000;120.10000;116.43000;119.58000
USDJPY;W;20011001;000000;119.45000;121.57000;119.33000;120.47000
USDJPY;W;20011008;000000;120.31000;121.82000;119.60000;121.13000
USDJPY;W;20011015;000000;121.13000;121.94000;120.42000;121.27000
USDJPY;W;20011022;000000;121.61000;123.43000;121.44000;122.65000
USDJPY;W;20011029;000000;122.19000;122.67000;121.33000;121.62000
USDJPY;W;20011105;000000;121.67000;122.17000;119.75000;120.43000
USDJPY;W;20011112;000000;120.70000;122.99000;119.70000;122.99000
USDJPY;W;20011119;000000;122.82000;124.54000;122.54000;124.23000
