<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USDJPY;D;20010216;000000;115.67000
USDJPY;D;20010217;000000;115.80000
USDJPY;D;20010218;000000;115.80000
USDJPY;D;20010219;000000;116.07000
USDJPY;D;20010220;000000;115.82000
USDJPY;D;20010221;000000;116.58000
USDJPY;D;20010222;000000;116.93000
USDJPY;D;20010223;000000;115.96000
USDJPY;D;20010224;000000;115.85000
USDJPY;D;20010226;000000;116.52000
USDJPY;D;20010227;000000;116.17000
USDJPY;D;20010228;000000;117.38000
USDJPY;D;20010301;000000;117.46000
USDJPY;D;20010302;000000;119.08000
USDJPY;D;20010303;000000;119.02000
USDJPY;D;20010305;000000;119.16000
USDJPY;D;20010306;000000;118.97000
USDJPY;D;20010307;000000;119.84000
USDJPY;D;20010313;000000;119.72000
USDJPY;D;20010314;000000;121.03000
USDJPY;D;20010315;000000;122.33000
USDJPY;D;20010316;000000;122.92000
USDJPY;D;20010317;000000;122.96000
USDJPY;D;20010319;000000;123.00000
USDJPY;D;20010320;000000;122.25000
USDJPY;D;20010321;000000;123.39000
USDJPY;D;20010322;000000;123.82000
USDJPY;D;20010323;000000;122.79000
USDJPY;D;20010324;000000;122.72000
USDJPY;D;20010326;000000;123.20000
USDJPY;D;20010330;000000;126.16000
USDJPY;D;20010331;000000;126.33000
USDJPY;D;20010402;000000;126.68000
USDJPY;D;20010403;000000;125.57000
USDJPY;D;20010404;000000;125.39000
USDJPY;D;20010405;000000;124.55000
USDJPY;D;20010406;000000;123.95000
USDJPY;D;20010409;000000;125.07000
USDJPY;D;20010410;000000;124.33000
USDJPY;D;20010411;000000;124.83000
USDJPY;D;20010412;000000;123.65000
USDJPY;D;20010413;000000;124.19000
USDJPY;D;20010414;000000;124.19000
USDJPY;D;20010416;000000;124.62000
USDJPY;D;20010417;000000;123.35000
USDJPY;D;20010418;000000;122.34000
USDJPY;D;20010419;000000;121.45000
USDJPY;D;20010420;000000;122.49000
USDJPY;D;20010421;000000;122.43000
USDJPY;D;20010423;000000;121.80000
USDJPY;D;20010424;000000;122.14000
USDJPY;D;20010425;000000;122.31000
USDJPY;D;20010426;000000;123.21000
USDJPY;D;20010427;000000;124.03000
USDJPY;D;20010428;000000;124.10000
USDJPY;D;20010503;000000;120.76000
USDJPY;D;20010504;000000;121.31000
USDJPY;D;20010505;000000;121.38000
USDJPY;D;20010506;000000;121.38000
USDJPY;D;20010507;000000;121.14000
USDJPY;D;20010508;000000;121.30000
USDJPY;D;20010509;000000;121.57000
USDJPY;D;20010510;000000;122.72000
USDJPY;D;20010511;000000;122.57000
USDJPY;D;20010512;000000;122.43000
USDJPY;D;20010514;000000;123.30000
USDJPY;D;20010515;000000;123.52000
USDJPY;D;20010516;000000;123.64000
USDJPY;D;20010517;000000;122.55000
USDJPY;D;20010518;000000;123.59000
USDJPY;D;20010519;000000;123.58000
USDJPY;D;20010521;000000;122.75000
USDJPY;D;20010522;000000;122.74000
USDJPY;D;20010523;000000;119.82000
USDJPY;D;20010524;000000;119.91000
USDJPY;D;20010525;000000;120.70000
USDJPY;D;20010526;000000;120.70000
