<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
USDRUB;D;20100101;000000;30.17400;30.30300;30.16500;30.18700
USDRUB;D;20100104;000000;30.30500;30.32900;29.94000;29.97100
USDRUB;D;20100105;000000;29.97600;29.98200;29.85200;29.92500
USDRUB;D;20100106;000000;29.92500;29.99300;29.82000;29.86300
USDRUB;D;20100107;000000;29.86200;29.89700;29.81400;29.86500
USDRUB;D;20100108;000000;29.85700;29.89800;29.65500;29.86500
USDRUB;D;20100111;000000;29.85700;29.86700;29.26950;29.30550
USDRUB;D;20100112;000000;29.30700;29.59900;29.29200;29.51550
USDRUB;D;20100113;000000;29.51700;29.67200;29.45500;29.49400
USDRUB;D;20100114;000000;29.49900;29.58700;29.34450;29.44450
USDRUB;D;20100115;000000;29.44500;29.60300;29.42100;29.56100
USDRUB;D;20100116;000000;29.54600;29.56100;29.53100;29.56100
USDRUB;D;20100117;000000;29.56000;29.57800;29.54700;29.54700
USDRUB;D;20100118;000000;29.56900;29.65450;29.53450;29.59400
USDRUB;D;20100119;000000;29.60800;29.73500;29.48210;29.58550
USDRUB;D;20100120;000000;29.59200;29.78000;29.54000;29.75130
USDRUB;D;20100121;000000;29.75240;29.85900;29.67130;29.74650
USDRUB;D;20100122;000000;29.74850;29.89000;29.68380;29.86400
USDRUB;D;20100123;000000;29.86000;29.86500;29.86000;29.86500
USDRUB;D;20100124;000000;29.85500;29.85500;29.85500;29.85500
USDRUB;D;20100125;000000;30.01900;30.15400;29.94580;30.09450
USDRUB;D;20100126;000000;30.10600;30.43360;30.07170;30.33400
USDRUB;D;20100127;000000;30.34700;30.37100;30.21930;30.31650
USDRUB;D;20100128;000000;30.31550;30.40550;30.24150;30.35450
USDRUB;D;20100129;000000;30.36700;30.47800;30.24450;30.36030
USDRUB;D;20100130;000000;30.37100;30.39200;30.28500;30.28500
USDRUB;D;20100131;000000;30.40800;30.41300;30.36900;30.40800
USDRUB;D;20100201;000000;30.36500;30.44600;30.28500;30.31000
USDRUB;D;20100202;000000;30.30200;30.33300;30.05450;30.05450
USDRUB;D;20100203;000000;30.06300;30.15500;29.80830;29.99400
