<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
comex.GC;D;20110102;000000;1420.40000;1420.60000;1414.50000;1420.20000
comex.GC;D;20110103;000000;1420.00000;1424.40000;1415.80000;1415.90000
comex.GC;D;20110105;000000;1382.50000;1384.80000;1364.00000;1377.20000
comex.GC;D;20110106;000000;1377.20000;1380.00000;1364.30000;1369.40000
comex.GC;D;20110107;000000;1369.40000;1379.00000;1352.70000;1369.70000
comex.GC;D;20110109;000000;1369.80000;1376.10000;1367.60000;1373.50000
comex.GC;D;20110110;000000;1373.50000;1377.70000;1365.00000;1376.40000
comex.GC;D;20110111;000000;1376.40000;1386.80000;1372.40000;1384.00000
comex.GC;D;20110112;000000;1384.10000;1389.00000;1376.30000;1385.50000
comex.GC;D;20110113;000000;1385.50000;1392.90000;1369.10000;1377.50000
comex.GC;D;20110114;000000;1377.40000;1377.50000;1354.60000;1361.40000
comex.GC;D;20110116;000000;1361.00000;1365.50000;1360.60000;1363.50000
comex.GC;D;20110117;000000;1363.50000;1365.40000;1356.80000;1364.80000
comex.GC;D;20110118;000000;1364.90000;1376.00000;1364.20000;1374.30000
comex.GC;D;20110119;000000;1374.30000;1378.90000;1366.70000;1367.70000
comex.GC;D;20110120;000000;1367.80000;1368.90000;1342.40000;1345.10000
comex.GC;D;20110121;000000;1345.20000;1349.70000;1337.00000;1341.90000
comex.GC;D;20110123;000000;1343.00000;1352.40000;1343.00000;1351.40000
comex.GC;D;20110124;000000;1351.40000;1352.30000;1329.50000;1332.20000
comex.GC;D;20110125;000000;1332.20000;1334.70000;1321.90000;1333.10000
comex.GC;D;20110126;000000;1333.10000;1347.50000;1324.30000;1344.30000
comex.GC;D;20110127;000000;1344.30000;1345.00000;1309.10000;1312.10000
comex.GC;D;20110128;000000;1312.00000;1348.00000;1311.30000;1339.10000
comex.GC;D;20110130;000000;1340.50000;1347.20000;1331.10000;1335.30000
comex.GC;D;20110131;000000;1335.20000;1340.60000;1323.60000;1337.90000
comex.GC;D;20110201;000000;1337.90000;1345.60000;1326.00000;1340.60000
