<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
comex.SI;60;20110101;000000;30.89500;30.93000;30.88000;30.93000
comex.SI;60;20110103;020000;30.92500;30.97000;30.81500;30.82500
comex.SI;60;20110103;030000;30.82000;30.82500;30.62000;30.78500
comex.SI;60;20110103;040000;30.78000;30.82500;30.78000;30.80000
comex.SI;60;20110103;050000;30.81000;30.83000;30.77000;30.80000
comex.SI;60;20110103;060000;30.80000;30.84500;30.78500;30.82000
comex.SI;60;20110103;070000;30.81500;30.95000;30.78000;30.91000
comex.SI;60;20110103;080000;30.92000;30.97500;30.89000;30.96000
comex.SI;60;20110103;090000;30.97000;31.07000;30.97000;31.01000
comex.SI;60;20110103;100000;31.00500;31.02000;30.93500;30.97500
comex.SI;60;20110103;110000;30.97500;30.99500;30.96000;30.99500
comex.SI;60;20110103;120000;31.00000;31.03500;30.99000;31.00000
comex.SI;60;20110103;130000;31.01000;31.16000;31.00500;31.12500
comex.SI;60;20110103;140000;31.12000;31.17000;31.08500;31.14500
comex.SI;60;20110103;150000;31.14000;31.24500;31.11000;31.20500
comex.SI;60;20110103;160000;31.20500;31.27500;30.85500;30.97500
comex.SI;60;20110103;170000;30.98000;31.17000;30.88500;31.08500
comex.SI;60;20110103;180000;31.09500;31.13000;30.87000;30.99000
comex.SI;60;20110103;190000;30.99500;31.09000;30.94000;30.97500
comex.SI;60;20110103;200000;30.98000;31.08000;30.95000;31.03500
comex.SI;60;20110103;210000;31.04000;31.15000;31.02500;31.03000
comex.SI;60;20110103;220000;31.03000;31.03500;30.66000;30.73500
comex.SI;60;20110105;100000;29.61000;29.67000;29.51500;29.63000
comex.SI;60;20110105;110000;29.64000;29.66500;29.51000;29.51000
comex.SI;60;20110105;120000;29.51000;29.69500;29.51000;29.67500
comex.SI;60;20110105;130000;29.67500;29.67500;29.27500;29.34500
comex.SI;60;20110105;140000;29.34500;29.38500;29.23500;29.27000
comex.SI;60;20110105;150000;29.27500;29.49000;29.14000;29.23500
comex.SI;60;20110105;160000;29.24000;29.38000;29.14000;29.36500
comex.SI;60;20110105;170000;29.36500;29.45500;28.58000;28.75000
comex.SI;60;20110105;180000;28.75000;29.03500;28.67500;28.93000
comex.SI;60;20110105;190000;28.92500;29.25500;28.92000;29.07000
comex.SI;60;20110105;200000;29.07500;29.44500;29.06500;29.32000
comex.SI;60;20110105;210000;29.31500;29.34500;29.17000;29.28500
comex.SI;60;20110105;220000;29.27500;29.35000;29.18500;29.30500
comex.SI;60;20110105;230000;29.30500;29.42000;29.29500;29.33500
comex.SI;60;20110106;000000;29.33000;29.35000;29.26000;29.27500
comex.SI;60;20110106;010000;29.27500;29.30000;29.24000;29.29500
comex.SI;60;20110106;020000;29.29000;29.34500;29.26000;29.34500
comex.SI;60;20110106;030000;29.33500;29.60000;29.33500;29.42500
comex.SI;60;20110106;040000;29.43000;29.52000;29.39500;29.42500
comex.SI;60;20110106;050000;29.42500;29.44500;29.37000;29.38500
comex.SI;60;20110106;060000;29.38500;29.46500;29.36000;29.44500
comex.SI;60;20110106;070000;29.44500;29.44500;29.32000;29.34000
comex.SI;60;20110106;080000;29.33500;29.43000;29.33500;29.42000
comex.SI;60;20110106;090000;29.42000;29.43500;29.33000;29.35000
comex.SI;60;20110106;100000;29.34500;29.44000;29.33000;29.36000
comex.SI;60;20110106;110000;29.36000;29.38000;29.29500;29.34000
comex.SI;60;20110106;120000;29.34000;29.43500;29.32500;29.38000
comex.SI;60;20110106;130000;29.38500;29.41500;29.14000;29.16000
comex.SI;60;20110106;140000;29.16000;29.24000;29.08500;29.10500
comex.SI;60;20110106;150000;29.10500;29.22000;29.02500;29.02500
comex.SI;60;20110106;160000;29.03000;29.38000;28.93000;29.30000
comex.SI;60;20110106;170000;29.30500;29.45000;29.08000;29.10000
comex.SI;60;20110106;180000;29.10000;29.18000;28.87500;29.06000
comex.SI;60;20110106;190000;29.05500;29.35000;28.81500;29.28500
comex.SI;60;20110106;200000;29.28500;29.34500;29.18000;29.30000
comex.SI;60;20110106;210000;29.30000;29.32000;29.10500;29.20500
comex.SI;60;20110106;220000;29.21000;29.23500;29.08000;29.10000
comex.SI;60;20110106;230000;29.10000;29.16000;29.05500;29.12000
comex.SI;60;20110107;000000;29.11500;29.14500;29.07000;29.10000
comex.SI;60;20110107;010000;29.09500;29.11000;29.02500;29.02500
comex.SI;60;20110107;020000;29.05000;29.14500;29.02500;29.05500
comex.SI;60;20110107;030000;29.05500;29.06000;28.95000;29.01000
comex.SI;60;20110107;040000;29.01500;29.04000;28.90000;28.97000
comex.SI;60;20110107;050000;28.98000;29.04000;28.97000;29.01500
comex.SI;60;20110107;060000;29.01000;29.03500;28.96000;28.96000
comex.SI;60;20110107;070000;28.96500;29.03500;28.96000;29.02000
comex.SI;60;20110107;080000;29.02000;29.04000;28.93500;28.94500
comex.SI;60;20110107;090000;28.94500;28.94500;28.67500;28.78000
comex.SI;60;20110107;100000;28.78500;28.83000;28.69000;28.75500
comex.SI;60;20110107;110000;28.76000;28.80000;28.59500;28.65000
comex.SI;60;20110107;120000;28.65000;28.65000;28.32500;28.48500
comex.SI;60;20110107;130000;28.49000;28.51500;28.35500;28.51500
comex.SI;60;20110107;140000;28.51500;28.53000;28.40500;28.46000
comex.SI;60;20110107;150000;28.46500;28.57000;28.41000;28.47000
